step,phase,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
1,Init,6.0,100,none,zipfian,mean,81.65863771438599,81.322,82.04,0.259,33051.99710773122,32904.88,33206.65,123.6,7.14
2,Init,1.0,1,snappy,latest,mean,81.48158617019654,80.068,82.176,0.769,33131.738017475305,32817.99,33725.48,323.46,14.26
3,Init,4.0,1,zstd,zipfian,mean,81.60401644706727,80.936,82.778,0.646,33118.85950835358,32634.75,33349.4,261.35,21.4
4,Init,6.0,1,snappy,latest,mean,81.7424651145935,80.901,82.46,0.632,33013.75487157685,32690.17,33346.79,253.24,28.54
5,Init,6.0,1,zstd,uniform,mean,81.56431832313538,80.454,82.245,0.62,33133.37418181921,32792.77,33624.04,280.68,35.67
6,Init,4.0,1,none,uniform,mean,81.54026618003846,80.945,81.995,0.436,33118.87257515398,32904.46,33416.88,202.52,42.8
7,Init,6.0,100,snappy,latest,mean,81.6472008228302,80.935,82.418,0.608,33044.452063994555,32737.83,33326.82,248.72,49.94
8,Init,2.0,500,none,latest,mean,81.97254176139832,81.278,83.644,0.851,32937.67035139128,32246.28,33222.59,352.65,57.1
9,Init,0.5,100,zstd,latest,mean,82.66032118797303,82.216,83.064,0.346,32674.62249421118,32505.05,32820.51,134.78,64.32
10,Init,1.0,500,snappy,zipfian,mean,81.43823680877685,80.439,82.332,0.615,33150.71928131496,32760.87,33566.29,265.23,71.44
11,BO,0.5,500,snappy,zipfian,mean,81.62975587844849,80.608,83.474,0.984,33078.42232039293,32282.06,33521.02,425.09,78.58
12,BO,4.0,500,snappy,zipfian,mean,81.37291250228881,80.838,82.069,0.447,33166.2832797329,32882.06,33388.55,183.93,85.7
13,BO,2.0,500,snappy,uniform,mean,81.82967705726624,80.623,82.95,0.78,32968.19205750129,32493.49,33506.1,339.05,92.85
14,BO,4.0,1,snappy,uniform,mean,83.01999011039734,81.591,86.265,1.713,32940.16803457004,32648.06,33232.08,202.41,100.11
15,BO,8.0,500,snappy,zipfian,mean,81.59483733177186,81.201,82.591,0.511,33064.89287671746,32644.73,33225.61,214.65,107.24
16,BO,8.0,1,zstd,zipfian,mean,81.54616026878357,81.21,81.928,0.26,33137.82165110417,32985.87,33261.01,98.53,114.38
17,BO,8.0,100,zstd,zipfian,mean,81.67279505729675,81.07,82.345,0.419,33094.288872730904,32812.1,33352.44,178.94,121.52
18,BO,2.0,500,snappy,zipfian,mean,82.3083176612854,81.41,83.653,0.94,32775.7172186192,32210.17,33135.3,401.65,128.71
19,BO,0.25,1,none,uniform,mean,81.09002990722657,80.141,81.754,0.557,33283.61199101235,33004.15,33702.84,242.73,135.81
20,BO,0.25,1,none,zipfian,mean,81.78056960105896,80.97,82.726,0.562,33150.39114158633,32991.39,33343.75,159.07,142.96
21,BO,0.25,1,none,latest,mean,81.91990337371826,81.004,82.713,0.584,32936.83176941192,32594.03,33322.92,249.73,150.12
22,BO,0.25,1,snappy,uniform,mean,81.9906732082367,81.162,83.359,0.735,32926.82538570648,32355.51,33293.45,312.05,157.29
23,BO,0.25,1,snappy,zipfian,mean,81.06360630989074,80.059,81.92,0.652,33311.99820343665,32926.47,33738.37,279.8,164.38
24,BO,0.25,1,snappy,latest,mean,81.8559356212616,80.506,82.733,0.78,32967.852332817165,32596.93,33543.86,335.71,171.54
25,BO,0.25,1,zstd,uniform,mean,88.3174458026886,87.285,89.281,0.739,30466.58741804408,30089.68,30801.44,272.25,179.24
26,BO,0.25,1,zstd,zipfian,mean,88.14929943084717,86.937,89.358,0.989,30521.529547053884,30073.42,30997.99,364.42,186.92
27,BO,2.0,1,none,zipfian,mean,82.94226293563842,81.335,86.575,1.854,32956.61526730707,32773.45,33218.28,180.31,194.17
28,BO,6.0,1,zstd,zipfian,mean,81.28545923233033,80.665,82.341,0.603,33258.47846112701,32817.99,33489.44,249.13,201.28
29,BO,0.5,100,none,uniform,mean,81.77882947921753,81.179,82.514,0.545,33009.82128988722,32676.82,33266.19,228.59,208.43
30,BO,6.0,500,snappy,zipfian,mean,81.21236648559571,80.891,81.523,0.217,33266.04248887581,33095.46,33393.34,96.46,215.53
31,BO,8.0,100,snappy,uniform,mean,81.76876134872437,80.54,83.0,0.788,33148.49362780516,32904.88,33521.46,218.94,222.69
32,BO,8.0,500,none,uniform,mean,80.9642656803131,80.407,81.886,0.613,33355.19005364737,32975.24,33575.09,255.62,229.77
33,BO,0.25,1,zstd,latest,mean,84.15517840385436,83.518,84.642,0.388,32056.02694632213,31855.06,32309.36,161.45,237.12
34,BO,8.0,100,none,uniform,mean,81.97055945396423,80.402,83.439,1.222,33001.08004861635,32320.78,33618.3,488.31,244.29
35,BO,6.0,500,none,zipfian,mean,81.88504538536071,81.14,82.647,0.488,32972.409851123324,32648.06,33291.72,209.31,251.45
36,BO,8.0,500,snappy,uniform,mean,82.31893348693848,80.357,86.452,2.182,33196.61314993371,32742.85,33598.45,304.56,258.64
37,BO,4.0,100,snappy,zipfian,mean,81.66817421913147,81.196,82.243,0.368,33034.09585220895,32798.65,33232.08,155.13,265.78
38,BO,6.0,500,zstd,latest,mean,82.02192606925965,80.947,83.002,0.66,32934.02551598379,32526.52,33407.72,280.93,272.96
39,BO,8.0,500,zstd,uniform,mean,81.76393308639527,80.645,82.936,0.886,33120.52750562219,32728.2,33548.25,313.91,280.11
40,BO,8.0,100,zstd,uniform,mean,81.80143556594848,81.06,82.239,0.46,33043.43411114214,32857.58,33352.01,192.19,287.26
