evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
1,1,2.0,100,snappy,zipfian,mean,82.57125148773193,81.82,83.487,0.54,32798.77164010116,32253.59,33081.77,293.19,True,7.21,False
2,1,0.25,100,snappy,zipfian,mean,81.99236688613891,81.135,82.589,0.499,33095.76773690448,32747.04,33442.19,241.55,False,14.38,False
3,1,0.5,100,snappy,zipfian,mean,81.94884920120239,81.347,82.514,0.38,32945.05666515858,32706.46,33221.73,170.06,False,21.54,False
4,1,1.0,100,snappy,zipfian,mean,82.36545796394348,81.376,83.228,0.676,33055.36536271761,32572.88,33456.18,284.95,False,28.74,False
5,1,4.0,100,snappy,zipfian,mean,82.10934610366822,81.148,83.764,0.884,33004.82249484258,32164.44,33355.05,432.9,False,35.92,False
6,1,6.0,100,snappy,zipfian,mean,81.5488630771637,80.085,82.597,0.828,33086.86007550152,32635.99,33729.03,360.09,False,43.05,False
7,2,8.0,100,snappy,zipfian,mean,81.5400694847107,80.542,82.59,0.854,33136.19869764901,32753.75,33524.97,317.91,True,50.17,False
8,2,8.0,1,snappy,zipfian,mean,81.7414855003357,81.079,82.186,0.42,32999.65725051053,32811.68,33277.01,177.37,False,57.32,False
9,2,8.0,500,snappy,zipfian,mean,82.04853796958923,81.466,82.965,0.509,32908.55513392751,32666.81,33118.58,152.76,False,64.49,False
10,3,8.0,100,none,zipfian,mean,81.4010892868042,80.678,81.965,0.537,33164.18302013904,32931.13,33450.06,223.26,True,71.61,False
11,2,8.0,100,zstd,zipfian,mean,81.559245967865,80.831,81.933,0.393,33137.02317805932,32936.21,33457.05,178.1,False,78.74,False
12,3,8.0,100,none,uniform,mean,82.34124703407288,81.075,83.657,0.957,32939.627592520184,32653.89,33317.72,232.5,False,85.93,False
13,3,8.0,100,none,latest,mean,81.61094160079956,80.573,83.087,0.882,33088.66150158725,32460.53,33544.3,380.92,False,93.07,False
14,3,0.25,100,none,zipfian,mean,81.82920508384704,80.883,82.304,0.501,33040.931098578614,32819.25,33388.11,189.77,False,100.22,False
15,3,0.5,100,none,zipfian,mean,82.35164070129395,81.382,84.07,1.05,33005.90743250317,32717.75,33197.17,180.52,False,107.41,False
16,3,1.0,100,none,zipfian,mean,82.09675550460815,81.693,82.581,0.334,32964.55785058007,32675.98,33218.71,176.76,False,114.59,False
17,3,2.0,100,none,zipfian,mean,81.9714587688446,81.176,82.414,0.437,32925.198128625736,32745.37,33259.71,183.4,False,121.75,False
18,3,4.0,100,none,zipfian,mean,81.50907459259034,81.016,81.952,0.316,33124.41768713943,32945.96,33335.5,131.83,False,128.88,False
19,3,6.0,100,none,zipfian,mean,82.26569256782531,81.503,82.745,0.418,32879.78961106552,32723.18,33119.44,150.2,False,136.07,False
20,3,8.0,1,none,zipfian,mean,83.04043145179749,80.723,84.698,1.326,32719.219528955968,32340.38,33469.3,403.05,False,143.32,False
21,3,8.0,500,none,zipfian,mean,81.74208264350891,80.569,83.551,1.001,33143.91270655823,32798.23,33574.65,263.84,False,150.47,False
22,3,8.0,100,snappy,zipfian,mean,81.5400694847107,80.542,82.59,0.854,33136.19869764901,32753.75,33524.97,317.91,False,150.47,False
23,3,8.0,100,zstd,zipfian,mean,81.559245967865,80.831,81.933,0.393,33137.02317805932,32936.21,33457.05,178.1,False,150.47,False
24,3,8.0,100,none,uniform,mean,82.34124703407288,81.075,83.657,0.957,32939.627592520184,32653.89,33317.72,232.5,False,150.47,False
25,3,8.0,100,none,latest,mean,81.61094160079956,80.573,83.087,0.882,33088.66150158725,32460.53,33544.3,380.92,False,150.47,False
26,4,4.0,100,none,latest,mean,81.89266905784606,81.445,82.432,0.367,33079.02186648006,32833.56,33281.76,148.48,True,157.62,True
27,4,0.25,100,none,latest,mean,82.10450348854064,81.809,82.507,0.26,33072.87324870683,32776.81,33385.93,211.79,False,164.8,False
28,4,0.5,100,none,latest,mean,82.15119132995605,81.858,82.578,0.251,32848.109384694966,32660.56,32993.94,113.38,False,171.98,False
