generation,evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_best_of_gen,elapsed_minutes
1,1,8.0,1,none,latest,mean,81.72748374938965,80.821,82.528,0.648,33013.86611179191,32687.67,33412.08,271.09,False,7.14
1,2,1.0,1,none,zipfian,mean,81.9819806098938,81.411,82.423,0.384,32974.94168385676,32724.86,33256.26,214.71,False,14.31
1,3,6.0,1,snappy,uniform,mean,81.84733347892761,80.758,82.458,0.602,32958.22678066623,32696.02,33427.35,263.15,False,21.46
1,4,0.5,100,zstd,zipfian,mean,85.14971742630004,84.229,85.975,0.725,31636.086483432493,31315.75,32010.8,293.55,False,28.89
1,5,8.0,1,snappy,uniform,mean,82.32679390907288,80.845,86.361,2.042,33190.43079695299,32950.63,33375.49,137.92,False,36.09
1,6,0.25,100,zstd,zipfian,mean,87.88758130073548,87.069,88.544,0.494,30612.007772477373,30377.46,30921.24,186.21,False,43.74
1,7,1.0,1,snappy,uniform,mean,81.4671115398407,80.67,83.445,1.024,33209.31830652384,32678.49,33467.99,291.77,True,50.87
1,8,0.5,100,snappy,latest,mean,81.82295751571655,81.266,82.683,0.527,32972.14207489775,32601.08,33211.39,227.12,False,58.02
1,9,0.5,500,zstd,uniform,mean,85.84706625938415,84.484,86.597,0.727,31483.164403635303,31230.18,31885.21,254.64,False,65.51
1,10,8.0,500,snappy,latest,mean,81.72960629463196,81.057,82.957,0.671,33079.945677591124,32731.55,33280.47,188.35,False,72.65
1,11,1.0,500,snappy,latest,mean,81.69671893119812,81.02,82.419,0.531,33075.757396356435,32890.51,33299.08,156.11,False,79.79
2,12,1.0,1,snappy,uniform,mean,81.4671115398407,80.67,83.445,1.024,33209.31830652384,32678.49,33467.99,291.77,True,79.79
2,13,2.0,1,snappy,latest,mean,81.56615462303162,81.088,82.149,0.378,33070.647895138274,32828.93,33268.79,157.79,False,86.92
2,14,0.5,500,snappy,latest,mean,81.74484744071961,81.07,82.877,0.696,33003.21950565457,32520.74,33296.05,294.45,False,94.07
2,15,4.0,1,snappy,uniform,mean,82.22799854278564,81.274,83.234,0.808,33039.40161289931,32765.06,33315.98,197.12,False,101.25
2,16,8.0,1,none,latest,mean,81.72748374938965,80.821,82.528,0.648,33013.86611179191,32687.67,33412.08,271.09,False,101.25
2,17,1.0,1,snappy,latest,mean,82.46390681266784,81.244,83.655,0.868,32762.403990259707,32423.12,33280.03,320.69,False,108.46
2,18,2.0,1,snappy,uniform,mean,81.47453713417053,80.664,82.237,0.557,33111.4633823499,32785.63,33455.31,237.85,False,115.58
2,19,8.0,500,zstd,latest,mean,81.6397693157196,80.617,82.442,0.627,33171.09507987891,32909.11,33543.42,206.42,False,122.72
2,20,6.0,1,zstd,latest,mean,82.01790971755982,81.035,83.154,0.769,33042.73402635318,32697.27,33358.96,224.22,False,129.89
2,21,1.0,1,snappy,zipfian,mean,81.8224889755249,81.029,82.937,0.737,32977.28905980524,32491.85,33324.66,326.14,False,137.04
2,22,0.5,100,none,latest,mean,81.43100304603577,80.633,82.125,0.518,33140.374912165804,32836.93,33484.62,221.12,False,144.16
3,23,1.0,1,snappy,uniform,mean,81.4671115398407,80.67,83.445,1.024,33209.31830652384,32678.49,33467.99,291.77,False,144.16
3,24,4.0,1,none,uniform,mean,82.18588457107543,81.359,83.12,0.632,32865.35022866719,32452.72,33202.34,298.02,False,151.34
3,25,6.0,1,snappy,latest,mean,81.9391065120697,80.263,83.741,1.143,33079.73605509771,32687.25,33630.23,307.24,False,158.5
3,26,1.0,100,none,latest,mean,81.78325672149658,81.124,82.787,0.628,33080.623102067184,32545.54,33282.2,282.67,False,165.65
3,27,0.5,1,none,latest,mean,82.01524081230164,81.036,84.059,1.065,32909.48628757773,32066.94,33329.86,442.34,False,172.82
3,28,0.25,1,none,zipfian,mean,81.73497748374939,80.754,83.473,0.951,33216.01542411682,32899.39,33449.19,211.89,True,179.96
3,29,4.0,1,snappy,uniform,mean,82.22799854278564,81.274,83.234,0.808,33039.40161289931,32765.06,33315.98,197.12,False,179.96
3,30,2.0,500,zstd,uniform,mean,82.12664251327514,81.534,82.646,0.421,32890.71134557887,32679.32,33159.33,185.67,False,187.14
3,31,8.0,1,snappy,latest,mean,82.02607154846191,81.556,82.421,0.332,32915.53450484805,32711.89,33071.94,116.31,False,194.31
3,32,6.0,1,zstd,latest,mean,82.01790971755982,81.035,83.154,0.769,33042.73402635318,32697.27,33358.96,224.22,False,194.31
3,33,8.0,1,none,latest,mean,81.72748374938965,80.821,82.528,0.648,33013.86611179191,32687.67,33412.08,271.09,False,194.31
4,34,0.25,1,none,zipfian,mean,81.73497748374939,80.754,83.473,0.951,33216.01542411682,32899.39,33449.19,211.89,True,194.31
4,35,1.0,1,snappy,latest,mean,82.46390681266784,81.244,83.655,0.868,32762.403990259707,32423.12,33280.03,320.69,False,194.31
4,36,0.5,100,none,zipfian,mean,81.46751446723938,80.453,82.079,0.571,33130.35541015332,32849.99,33580.38,252.86,False,201.43
4,37,0.25,1,snappy,zipfian,mean,81.80921907424927,81.187,82.499,0.427,33020.79331617877,32865.18,33264.03,135.04,False,208.58
4,38,0.25,1,snappy,latest,mean,81.88624978065491,81.185,82.599,0.533,32986.41452991838,32776.39,33250.21,194.49,False,215.74
4,39,4.0,500,snappy,uniform,mean,82.0333059310913,80.7,82.654,0.73,32876.66308496451,32609.8,33445.69,309.04,False,222.91
4,40,1.0,100,none,latest,mean,81.78325672149658,81.124,82.787,0.628,33080.623102067184,32545.54,33282.2,282.67,False,222.91
4,41,4.0,100,zstd,latest,mean,81.84556212425233,81.359,82.301,0.323,33007.91106799941,32839.88,33149.89,108.27,False,230.06
4,42,2.0,100,snappy,latest,mean,81.77875695228576,80.987,82.827,0.627,32987.3063632314,32527.76,33322.49,263.86,False,237.21
4,43,0.25,100,none,latest,mean,82.306032371521,81.891,82.944,0.431,32780.300830565364,32558.79,32947.66,162.24,False,244.4
4,44,1.0,1,none,latest,mean,82.13865542411804,81.166,82.701,0.572,32848.76247415372,32596.1,33258.85,243.99,False,251.58
5,45,0.25,1,none,zipfian,mean,81.73497748374939,80.754,83.473,0.951,33216.01542411682,32899.39,33449.19,211.89,True,251.58
5,46,1.0,100,snappy,latest,mean,82.17417917251586,81.887,82.741,0.298,32903.41060135643,32804.95,33001.6,66.25,False,258.76
5,47,1.0,100,none,uniform,mean,81.9498827457428,81.134,82.817,0.542,32936.71884958689,32610.63,33280.47,217.79,False,265.93
5,48,2.0,1,none,zipfian,mean,82.38683013916015,81.673,83.144,0.599,32895.787432005935,32628.51,33061.69,170.06,False,273.13
5,49,1.0,1,snappy,latest,mean,82.46390681266784,81.244,83.655,0.868,32762.403990259707,32423.12,33280.03,320.69,False,273.13
5,50,0.25,100,none,zipfian,mean,82.94797329902649,81.985,83.996,0.859,32843.05349163832,32744.11,32955.29,85.87,False,280.37
5,51,0.5,100,none,zipfian,mean,81.46751446723938,80.453,82.079,0.571,33130.35541015332,32849.99,33580.38,252.86,False,280.37
5,52,0.5,500,snappy,latest,mean,81.74484744071961,81.07,82.877,0.696,33003.21950565457,32520.74,33296.05,294.45,False,280.37
5,53,8.0,1,snappy,uniform,mean,82.32679390907288,80.845,86.361,2.042,33190.43079695299,32950.63,33375.49,137.92,False,280.37
5,54,1.0,1,snappy,zipfian,mean,81.8224889755249,81.029,82.937,0.737,32977.28905980524,32491.85,33324.66,326.14,False,280.37
5,55,4.0,1,snappy,zipfian,mean,81.91123991012573,80.841,83.183,0.78,33139.102567917595,32799.49,33492.95,263.3,False,287.53
6,56,0.25,1,none,zipfian,mean,81.73497748374939,80.754,83.473,0.951,33216.01542411682,32899.39,33449.19,211.89,False,287.53
6,57,4.0,500,none,zipfian,mean,81.51471433639526,80.812,81.904,0.38,33305.925482237224,33111.3,33532.43,161.22,True,294.66
6,58,2.0,1,snappy,latest,mean,81.56615462303162,81.088,82.149,0.378,33070.647895138274,32828.93,33268.79,157.79,False,294.66
6,59,8.0,1,snappy,uniform,mean,82.32679390907288,80.845,86.361,2.042,33190.43079695299,32950.63,33375.49,137.92,False,294.66
6,60,0.25,1,zstd,zipfian,mean,88.22681741714477,87.563,90.033,0.926,30939.408562454955,30720.86,31063.44,119.06,False,302.34
6,61,6.0,500,snappy,latest,mean,81.9156322479248,81.051,82.696,0.575,32927.17739966126,32622.27,33297.78,238.6,False,309.5
6,62,0.25,1,snappy,latest,mean,81.88624978065491,81.185,82.599,0.533,32986.41452991838,32776.39,33250.21,194.49,False,309.5
6,63,8.0,500,snappy,latest,mean,81.72960629463196,81.057,82.957,0.671,33079.945677591124,32731.55,33280.47,188.35,False,309.5
6,64,0.25,500,snappy,uniform,mean,82.34688668251037,81.092,82.805,0.64,32776.571796018856,32584.48,33314.25,274.85,False,316.7
6,65,8.0,1,snappy,zipfian,mean,82.65148048400879,81.293,84.595,1.261,33020.49834465665,32781.43,33189.43,149.86,False,323.92
6,66,0.25,100,snappy,zipfian,mean,82.2114130973816,81.306,82.943,0.537,32848.60707485791,32499.27,33181.68,226.59,False,331.1
7,67,4.0,500,none,zipfian,mean,81.51471433639526,80.812,81.904,0.38,33305.925482237224,33111.3,33532.43,161.22,True,331.1
7,68,1.0,1,none,zipfian,mean,81.9819806098938,81.411,82.423,0.384,32974.94168385676,32724.86,33256.26,214.71,False,331.1
7,69,6.0,1,snappy,uniform,mean,81.84733347892761,80.758,82.458,0.602,32958.22678066623,32696.02,33427.35,263.15,False,331.1
7,70,8.0,500,snappy,latest,mean,81.72960629463196,81.057,82.957,0.671,33079.945677591124,32731.55,33280.47,188.35,False,331.1
7,71,6.0,1,zstd,zipfian,mean,81.98877077102661,81.232,83.593,0.831,32996.79752817495,32521.56,33292.15,256.22,False,338.27
7,72,0.25,100,snappy,uniform,mean,82.40392603874207,81.812,83.003,0.464,33147.78388722318,32823.46,33517.51,285.15,False,345.47
7,73,4.0,100,zstd,latest,mean,81.84556212425233,81.359,82.301,0.323,33007.91106799941,32839.88,33149.89,108.27,False,345.47
7,74,0.25,1,snappy,uniform,mean,81.70331392288207,80.284,82.992,0.904,33146.745698249964,32916.31,33670.48,290.46,False,352.61
7,75,8.0,500,snappy,latest,mean,81.72960629463196,81.057,82.957,0.671,33079.945677591124,32731.55,33280.47,188.35,False,352.61
7,76,0.25,1,none,uniform,mean,82.13955769538879,81.354,82.979,0.627,32930.45569259936,32612.71,33204.92,204.9,False,359.79
7,77,1.0,500,none,zipfian,mean,81.60441989898682,80.888,82.878,0.676,33192.913461975666,32911.65,33559.69,210.94,False,366.92
8,78,4.0,500,none,zipfian,mean,81.51471433639526,80.812,81.904,0.38,33305.925482237224,33111.3,33532.43,161.22,True,366.92
8,79,4.0,1,snappy,latest,mean,81.75866284370423,80.718,82.364,0.571,33003.73338069901,32732.39,33471.93,255.54,False,374.07
8,80,8.0,500,none,uniform,mean,81.378817653656,80.253,82.987,1.063,33184.05638517253,32507.11,33641.72,444.61,False,381.19
8,81,4.0,1,snappy,uniform,mean,82.22799854278564,81.274,83.234,0.808,33039.40161289931,32765.06,33315.98,197.12,False,381.19
8,82,8.0,1,snappy,latest,mean,82.02607154846191,81.556,82.421,0.332,32915.53450484805,32711.89,33071.94,116.31,False,381.19
8,83,1.0,100,zstd,zipfian,mean,82.29446358680725,81.071,83.194,0.905,33123.79120590617,32792.35,33310.35,182.61,False,388.38
8,84,6.0,100,snappy,latest,mean,81.73705244064331,81.3,82.525,0.444,33097.33778102604,32844.51,33465.36,212.97,False,395.52
8,85,1.0,1,none,uniform,mean,81.9299262046814,81.486,82.781,0.453,33031.564430018014,32822.2,33313.81,175.11,False,402.68
