evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
1,0.25,1,none,uniform,mean,81.72692770957947,80.541,82.736,0.872,33019.19600736501,32562.52,33495.58,350.93,7.14
2,0.5,1,none,uniform,mean,81.95372891426086,81.362,82.812,0.478,32904.09619366423,32540.99,33144.31,201.64,14.31
3,1.0,1,none,uniform,mean,81.61368794441223,80.928,82.712,0.65,33060.63461523123,32597.35,33366.79,278.42,21.44
4,2.0,1,none,uniform,mean,82.52494854927063,81.955,83.644,0.582,32880.39570967878,32719.0,33063.4,132.07,28.65
5,4.0,1,none,uniform,mean,81.37792825698853,80.627,82.433,0.717,33239.00659826867,32886.29,33480.68,234.78,35.77
6,6.0,1,none,uniform,mean,81.6819266319275,81.347,82.224,0.355,33065.24037854395,32809.16,33182.11,135.47,42.91
7,8.0,1,none,uniform,mean,82.42680859565735,81.119,83.184,0.713,32892.316874231255,32400.55,33287.39,285.13,50.11
8,0.25,100,none,uniform,mean,81.88415937423706,80.795,82.485,0.579,33107.909531392026,32810.84,33411.21,252.44,57.27
9,0.5,100,none,uniform,mean,81.55383801460266,80.592,82.269,0.573,33068.89496220627,32772.61,33485.94,245.85,64.4
10,1.0,100,none,uniform,mean,81.55426702499389,80.965,82.236,0.508,33113.26964997966,32830.61,33353.31,219.57,71.53
11,2.0,100,none,uniform,mean,81.43330874443055,80.052,82.242,0.759,33141.63249997903,32796.97,33730.81,325.05,78.64
12,4.0,100,none,uniform,mean,82.0868266582489,80.486,84.352,1.291,33062.75205084084,32668.48,33547.81,288.61,85.82
13,6.0,100,none,uniform,mean,81.94293913841247,81.373,82.589,0.39,32952.19115001766,32633.5,33325.09,221.15,92.98
14,8.0,100,none,uniform,mean,82.05561771392823,81.164,82.939,0.694,32999.88176619958,32600.25,33458.8,279.8,100.15
15,0.25,500,none,uniform,mean,81.85352067947387,81.102,82.841,0.643,33085.04299223966,32653.48,33600.65,337.63,107.31
16,0.5,500,none,uniform,mean,80.90975351333618,80.427,81.614,0.432,33358.36132374157,33102.31,33562.33,171.03,114.38
17,1.0,500,none,uniform,mean,81.68521027565002,80.689,82.952,0.763,33134.35204003223,32495.97,33474.55,339.3,121.52
18,2.0,500,none,uniform,mean,82.29206700325012,81.373,83.346,0.657,32782.70465618664,32342.02,33158.47,273.3,128.71
19,4.0,500,none,uniform,mean,81.22716097831726,80.797,81.695,0.325,33228.97717690063,33021.18,33417.31,142.04,135.82
20,6.0,500,none,uniform,mean,81.96606130599976,80.421,82.824,0.83,32983.14455416174,32733.22,33577.73,323.62,142.98
21,8.0,500,none,uniform,mean,81.16725616455078,80.589,81.649,0.398,33249.867159100606,33043.77,33499.52,169.97,150.08
22,0.25,1,snappy,uniform,mean,81.16235094070434,80.146,81.707,0.59,33266.98766939137,33028.85,33690.42,247.45,157.17
23,0.5,1,snappy,uniform,mean,82.65138087272643,81.375,86.48,1.924,33025.24493110516,32882.06,33145.59,102.17,164.4
24,1.0,1,snappy,uniform,mean,81.87347040176391,80.757,82.663,0.822,32942.06963102347,32599.84,33404.67,363.46,171.55
25,2.0,1,snappy,uniform,mean,81.58364496231079,80.895,82.291,0.591,33116.06837983633,32754.58,33433.9,247.98,178.68
26,4.0,1,snappy,uniform,mean,81.56601319313049,80.789,82.179,0.502,33058.39934330945,32793.19,33395.52,215.48,185.81
27,6.0,1,snappy,uniform,mean,81.43125820159912,80.34,82.374,0.832,33240.39559597759,32725.27,33599.77,343.71,192.93
28,8.0,1,snappy,uniform,mean,81.90795607566834,80.92,83.457,0.973,32953.016778972196,32419.84,33365.05,369.99,200.09
29,0.25,100,snappy,uniform,mean,82.80172529220582,81.85,84.119,0.794,32842.22696646511,32671.4,33074.08,156.68,207.33
30,0.5,100,snappy,uniform,mean,81.99562425613404,80.867,83.562,0.942,33145.3652321553,32953.59,33379.4,144.48,214.49
31,1.0,100,snappy,uniform,mean,81.63777112960815,81.148,82.568,0.526,33043.969540222395,32657.23,33245.46,213.96,221.63
32,2.0,100,snappy,uniform,mean,81.64183812141418,80.764,82.991,0.764,33028.84317229722,32463.0,33402.49,321.25,228.77
33,4.0,100,snappy,uniform,mean,81.35347456932068,80.941,81.819,0.3,33147.63001124679,32952.32,33322.49,127.46,235.88
34,6.0,100,snappy,uniform,mean,81.34996438026428,80.609,81.942,0.537,33148.82302299446,32900.66,33468.86,230.26,242.99
35,8.0,100,snappy,uniform,mean,81.68227877616883,81.34,82.738,0.534,33053.03062955545,32749.56,33164.06,154.62,250.13
36,0.25,500,snappy,uniform,mean,82.0098062992096,81.192,82.91,0.554,32894.10933736489,32518.67,33258.85,239.14,257.3
37,0.5,500,snappy,uniform,mean,81.70424838066101,81.14,82.082,0.347,33017.011222259716,32858.0,33253.23,150.68,264.44
38,1.0,500,snappy,uniform,mean,81.54331822395325,80.111,82.847,0.952,33077.039465671136,32530.66,33692.19,404.16,271.57
39,2.0,500,snappy,uniform,mean,81.80995144844056,81.075,83.344,0.797,33225.471127593526,32989.69,33631.99,223.93,278.72
40,4.0,500,snappy,uniform,mean,81.68560242652893,80.321,83.129,0.964,33016.61849413704,32407.52,33609.47,412.16,285.86
41,6.0,500,snappy,uniform,mean,81.43608145713806,80.76,81.999,0.45,33110.90421818795,32875.73,33406.85,195.07,292.98
42,8.0,500,snappy,uniform,mean,81.56524143218994,80.272,83.035,1.046,33061.72274690338,32442.43,33611.68,445.51,300.11
43,0.25,1,zstd,uniform,mean,87.51644101142884,86.612,88.009,0.526,30763.211208088167,30527.43,31065.32,188.55,307.74
44,0.5,1,zstd,uniform,mean,85.82487587928772,84.623,86.679,0.681,31539.627509037888,31202.01,31832.88,228.61,315.22
45,1.0,1,zstd,uniform,mean,81.94201455116271,80.892,83.123,0.818,33007.623713993526,32640.16,33385.93,312.41,322.39
46,2.0,1,zstd,uniform,mean,81.96786193847656,81.359,82.969,0.592,32951.38484430967,32545.13,33204.06,241.52,329.55
47,4.0,1,zstd,uniform,mean,82.08742113113404,80.651,83.999,1.141,32974.90804509197,32537.27,33490.76,339.47,336.72
48,6.0,1,zstd,uniform,mean,81.9525454044342,81.335,82.583,0.473,33067.71306289317,32773.87,33382.45,195.18,343.89
49,8.0,1,zstd,uniform,mean,83.94589309692383,81.268,88.211,2.925,33133.06352931476,32876.99,33224.32,129.64,351.22
50,0.25,100,zstd,uniform,mean,88.45814156532288,87.816,88.787,0.344,30389.533212785085,30268.28,30607.0,118.2,358.92
51,0.5,100,zstd,uniform,mean,85.05696082115173,84.666,85.357,0.252,31671.320245819807,31559.74,31824.96,97.99,366.34
52,1.0,100,zstd,uniform,mean,81.92463269233704,80.85,83.004,0.76,32948.25893407952,32508.35,33408.15,317.72,373.5
53,2.0,100,zstd,uniform,mean,82.38427081108094,81.477,83.926,0.825,32783.82808310153,32150.3,33168.36,340.65,380.7
54,4.0,100,zstd,uniform,mean,81.93928055763244,81.411,82.455,0.333,33043.172365336555,32752.91,33251.5,183.6,387.86
55,6.0,100,zstd,uniform,mean,81.99034438133239,81.576,82.314,0.28,32928.52199099063,32788.98,33112.15,120.97,395.03
56,8.0,100,zstd,uniform,mean,81.63337802886963,80.997,82.431,0.559,33082.0284103288,32757.94,33365.48,237.71,402.16
57,0.25,500,zstd,uniform,mean,87.79588193893433,87.414,88.419,0.364,30679.058477638348,30388.64,30835.57,151.9,409.81
58,0.5,500,zstd,uniform,mean,86.00218152999878,85.408,86.822,0.603,31296.888644396888,30976.24,31546.13,227.43,417.31
