evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
1,1,2.0,100,snappy,zipfian,mean,81.7745279788971,81.137,82.587,0.51,33096.38883595507,32848.73,33261.44,139.14,True,7.15,False
2,1,1.0,100,snappy,zipfian,mean,82.1863778591156,81.716,82.532,0.28,32817.66553767255,32665.14,33013.51,119.5,False,14.33,False
3,1,4.0,100,snappy,zipfian,mean,81.58475165367126,79.985,82.491,0.856,33074.840398585904,32683.49,33766.41,370.01,False,21.46,False
4,2,2.0,1,snappy,zipfian,mean,81.31746625900269,80.479,82.027,0.607,33189.73261799135,32894.74,33547.37,254.16,True,28.57,False
5,1,2.0,500,snappy,zipfian,mean,82.19669122695923,80.819,83.033,0.806,32911.990517258506,32453.13,33403.36,380.48,False,35.76,False
6,1,2.0,100,none,zipfian,mean,81.70705232620239,80.544,82.663,0.742,33105.9402185257,32640.16,33525.85,288.57,False,42.9,False
7,1,2.0,100,zstd,zipfian,mean,82.10858836174012,81.72,82.389,0.255,32905.07031950458,32781.85,33092.04,120.39,False,50.07,False
8,1,2.0,100,snappy,uniform,mean,81.66926774978637,81.021,82.743,0.666,33050.085593171694,32583.24,33342.88,290.28,False,57.21,False
9,1,2.0,100,snappy,latest,mean,81.86227760314941,81.541,82.356,0.304,32947.4199687088,32734.06,33091.61,131.54,False,64.37,False
10,2,1.0,1,snappy,zipfian,mean,82.20999188423157,81.032,82.774,0.626,33127.39350971526,32922.66,33308.18,139.2,False,71.55,False
11,2,4.0,1,snappy,zipfian,mean,82.00507302284241,81.019,82.885,0.799,33133.49954429011,32929.01,33342.45,177.04,False,78.72,False
12,2,2.0,100,snappy,zipfian,mean,81.7745279788971,81.137,82.587,0.51,33096.38883595507,32848.73,33261.44,139.14,False,78.72,False
13,2,2.0,1,none,zipfian,mean,82.2320297718048,81.556,82.979,0.491,32949.45087950007,32689.75,33244.59,176.67,False,85.91,False
14,2,2.0,1,zstd,zipfian,mean,82.19638395309448,81.367,82.917,0.498,32968.091223429095,32804.53,33185.12,165.73,False,93.09,False
