evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_new_best,elapsed_minutes
1,8.0,100,snappy,zipfian,mean,81.87745184898377,81.275,82.298,0.437,33008.20177351447,32757.1,33189.0,180.26,True,7.16
2,4.0,500,snappy,uniform,mean,81.46404027938843,80.439,83.438,1.077,33106.05776928728,32276.77,33545.17,454.32,True,14.28
3,0.5,100,none,uniform,mean,82.26837677955628,81.655,83.017,0.507,32771.3333567404,32446.96,33039.08,220.61,False,21.47
4,6.0,500,snappy,zipfian,mean,81.68776435852051,80.816,82.238,0.536,33103.29130815498,32781.43,33375.92,202.52,False,28.61
5,6.0,100,snappy,zipfian,mean,81.5014943599701,80.898,81.981,0.467,33084.31234121825,32885.02,33341.58,196.94,False,35.73
6,0.25,100,snappy,latest,mean,82.00922131538391,81.155,82.498,0.489,32879.01455858057,32667.64,33231.65,204.0,False,42.9
7,0.25,500,snappy,uniform,mean,82.5335045337677,81.346,84.354,1.042,32911.21935572263,32603.99,33159.33,210.04,False,50.11
8,4.0,1,zstd,zipfian,mean,82.35207071304322,81.606,83.138,0.637,32969.365437725595,32598.18,33172.22,202.97,False,57.31
9,0.5,1,snappy,latest,mean,82.31064414978027,81.533,83.654,0.779,33094.4436556346,32911.23,33464.49,193.45,False,64.5
10,6.0,500,none,uniform,mean,81.82366862297059,80.607,83.114,0.859,33119.128238241254,32433.8,33493.82,368.45,True,71.65
11,6.0,100,snappy,latest,mean,82.35659947395325,81.6,83.014,0.477,32950.22910714118,32449.01,33230.35,264.86,False,78.85
12,0.5,100,snappy,zipfian,mean,81.97997722625732,81.123,82.448,0.54,32929.99997955053,32678.49,33376.36,268.42,False,86.01
13,8.0,500,snappy,latest,mean,82.08889255523681,80.963,83.127,0.809,32919.96165012122,32404.65,33343.75,321.35,False,93.19
14,0.5,100,zstd,zipfian,mean,85.29575009346009,83.817,86.44,0.849,31658.355209223002,31130.68,32171.31,349.7,False,100.63
15,1.0,500,zstd,uniform,mean,81.49927139282227,80.747,82.485,0.622,33235.70804072102,32744.11,33458.8,255.92,True,107.75
16,8.0,100,snappy,latest,mean,82.7444781780243,81.732,84.111,0.781,32662.096187988558,32405.06,32987.14,191.5,False,114.98
17,8.0,500,none,uniform,mean,81.81445236206055,80.924,83.149,0.853,33062.84719121421,32688.5,33362.87,262.85,False,122.13
18,6.0,500,none,latest,mean,82.72179503440857,81.975,83.315,0.537,32762.717863865888,32354.69,33122.44,301.23,False,129.36
19,8.0,1,none,zipfian,mean,81.63131594657898,81.223,82.164,0.356,33178.375002726316,32828.51,33682.44,310.14,False,136.5
20,8.0,1,none,uniform,mean,81.93993368148804,81.401,82.675,0.483,33169.60101508621,32950.63,33314.68,124.97,False,143.66
21,8.0,100,none,zipfian,mean,82.63122305870056,81.567,83.298,0.632,32911.04415288901,32552.17,33212.68,240.6,False,150.88
22,0.25,100,zstd,latest,mean,84.74228610992432,83.811,85.626,0.64,31813.465348793077,31433.8,32170.91,258.78,False,158.27
23,1.0,500,none,zipfian,mean,82.22181692123414,81.618,82.561,0.332,32822.87724626645,32696.02,33059.56,129.99,False,165.46
24,0.25,100,snappy,zipfian,mean,81.82973518371583,81.303,82.509,0.472,32976.09443081096,32693.93,33174.8,190.81,False,172.61
25,6.0,500,zstd,zipfian,mean,81.60383281707763,81.338,81.827,0.197,33093.664527348374,32981.19,33210.95,92.49,False,179.75
26,2.0,100,snappy,latest,mean,82.2818006515503,81.237,83.207,0.752,32972.3002824488,32563.76,33241.14,244.1,False,186.94
27,1.0,500,none,uniform,mean,82.00611143112182,81.158,83.205,0.713,32977.21924448452,32409.17,33261.87,321.75,False,194.1
28,0.5,1,zstd,zipfian,mean,85.42428951263427,84.459,85.914,0.521,31581.869869693335,31349.5,31929.36,217.6,False,201.56
29,4.0,100,none,latest,mean,82.623703622818,81.682,83.774,0.733,32743.05171211028,32483.6,33028.0,191.56,False,208.77
30,1.0,1,none,uniform,mean,82.38693037033082,81.523,83.127,0.515,33021.56028652475,32793.61,33122.01,123.74,False,215.97
31,6.0,1,zstd,latest,mean,81.87436399459838,80.901,82.605,0.631,33068.97428391472,32740.34,33417.31,220.76,False,223.13
32,0.5,100,snappy,latest,mean,82.5527997970581,81.742,83.136,0.46,32934.13872591984,32572.46,33192.01,271.69,False,230.34
33,8.0,1,none,latest,mean,83.0188573360443,82.208,83.948,0.61,32928.423184395666,32690.17,33255.39,183.88,False,237.59
34,0.5,500,zstd,zipfian,mean,85.46806721687317,85.123,86.316,0.432,31770.129251339513,31532.92,31992.0,179.28,False,245.05
35,0.25,500,zstd,zipfian,mean,87.68953804969787,87.274,88.65,0.501,30671.889966749703,30333.91,30840.77,181.94,False,252.69
36,6.0,100,snappy,uniform,mean,81.91166152954102,81.2,82.757,0.611,32923.54941422268,32558.79,33276.57,271.83,False,259.85
37,4.0,100,snappy,latest,mean,81.9772385597229,81.481,82.591,0.363,32879.36976090974,32625.6,33084.34,150.14,False,267.01
38,0.5,500,snappy,zipfian,mean,81.88081159591675,81.23,82.83,0.55,32945.958709745355,32551.34,33223.45,229.72,False,274.17
39,2.0,1,snappy,uniform,mean,82.68846220970154,80.91,86.599,2.002,33013.58832715683,32833.14,33335.07,182.98,False,281.4
40,0.25,500,none,latest,mean,82.10412101745605,81.732,82.515,0.291,32841.398578414286,32692.26,32996.07,117.94,False,288.57
41,2.0,1,snappy,latest,mean,81.40069184303283,80.663,82.053,0.524,33131.226473808696,32844.51,33442.63,223.28,False,295.69
42,6.0,500,zstd,uniform,mean,82.87960619926453,81.728,83.58,0.665,32848.13079475514,32469.18,33510.49,358.39,False,302.93
43,1.0,1,zstd,latest,mean,82.79301176071166,81.858,83.848,0.787,32778.472536727226,32555.06,33013.09,172.49,False,310.16
44,1.0,100,zstd,zipfian,mean,81.77190318107606,80.991,82.941,0.697,33133.79455260561,32890.51,33372.88,180.6,False,317.31
45,2.0,100,none,uniform,mean,82.64118919372558,81.34,83.757,0.792,32937.71594835345,32695.6,33194.16,164.99,False,324.53
46,0.25,100,snappy,uniform,mean,81.70309658050537,81.305,82.21,0.323,33068.29511301678,32831.46,33285.66,161.96,False,331.67
47,2.0,500,none,latest,mean,82.6825357913971,81.852,83.296,0.571,32824.92514563284,32638.49,33041.21,161.39,False,338.9
