evaluation_id,temperature,iteration,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,accepted,elapsed_minutes
1,1.0,0,2.0,500,zstd,latest,mean,83.11171870231628,82.171,84.299,0.701,32640.105200586662,31925.77,32909.96,374.66,True,7.26
2,0.9253203955702536,1,2.0,1,zstd,latest,mean,82.23166337013245,81.648,82.682,0.381,32868.32173444953,32663.06,33128.01,176.92,True,14.45
3,0.8562178344582906,1,2.0,1,zstd,zipfian,mean,82.05171856880187,80.91,82.862,0.662,32930.49874592924,32567.49,33431.71,292.77,True,21.62
4,0.7922758252752513,1,2.0,500,zstd,zipfian,mean,81.89214310646057,81.015,82.252,0.463,32983.04141032628,32823.46,33353.31,197.19,True,28.77
5,0.7331089800444447,1,2.0,500,zstd,uniform,mean,82.2743353843689,81.421,84.731,1.235,32977.336483475054,32340.79,33197.17,322.51,True,35.96
6,0.6783606914108307,1,2.0,500,zstd,zipfian,mean,81.89214310646057,81.015,82.252,0.463,32983.04141032628,32823.46,33353.31,197.19,True,35.96
7,0.6277009833155806,1,2.0,500,none,zipfian,mean,82.50120973587036,82.078,83.697,0.604,32770.06777370283,32257.66,33082.2,274.54,True,43.17
8,0.5808245221814101,1,2.0,100,none,zipfian,mean,81.27520351409912,80.933,81.881,0.4,33224.715171933625,32958.69,33372.88,174.26,True,50.28
9,0.5374487766218059,1,8.0,100,none,zipfian,mean,81.96536793708802,80.712,83.038,0.785,32935.92976633735,32488.55,33466.68,329.06,True,57.44
10,0.4973123145824383,1,8.0,1,none,zipfian,mean,82.61615829467773,81.507,83.747,0.765,32758.211120436736,32254.81,33116.01,287.47,True,64.66
11,0.4601732276513802,1,8.0,1,none,uniform,mean,81.46421685218812,80.539,82.103,0.53,33148.24421348262,32867.29,33553.53,232.25,True,71.78
12,0.4258076730412155,1,4.0,1,none,uniform,mean,82.17695379257202,81.36,83.064,0.646,32948.72243198987,32608.14,33198.9,201.39,True,78.97
13,0.3940085244553467,1,4.0,1,none,latest,mean,82.68175735473633,81.067,84.785,1.45,32735.64525350099,31838.02,33299.95,520.4,True,86.19
14,0.3645841237070734,1,4.0,1,snappy,latest,mean,81.65571007728576,80.237,83.918,1.268,33065.399154967,32099.91,33661.18,547.05,True,93.33
15,0.3373571255672634,1,1.0,1,snappy,latest,mean,82.11862964630127,81.491,83.316,0.707,32844.43684925029,32347.33,33120.72,297.04,True,100.5
16,0.3121634288783438,1,1.0,1,snappy,zipfian,mean,82.1103814125061,80.962,84.594,1.304,32939.71913237485,31832.09,33329.43,570.69,True,107.68
17,0.2888511874922758,1,1.0,1,snappy,latest,mean,82.11862964630127,81.491,83.316,0.707,32844.43684925029,32347.33,33120.72,297.04,True,107.68
18,0.2672798950712902,1,1.0,500,snappy,latest,mean,81.79743032455444,80.758,82.568,0.617,33017.03704049982,32665.56,33429.97,245.39,True,114.83
19,0.2473195382353421,1,1.0,500,zstd,latest,mean,82.32285676002502,81.769,83.332,0.55,32843.35632252671,32391.53,33073.23,235.76,True,122.02
