step,phase,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
1,Init,4.0,500,zstd,zipfian,mean,72.47034306526184,72.046,72.905,0.302,37534.93181596034,37339.01,37799.37,174.1,6.37
2,Init,2.0,500,snappy,uniform,mean,72.32842597961425,72.151,72.491,0.134,37570.44636367089,37482.8,37703.61,83.54,12.73
3,Init,0.5,500,zstd,uniform,mean,72.68487596511841,72.126,73.342,0.413,37411.96569726318,37082.64,37662.01,206.76,19.12
4,Init,2.0,1,snappy,uniform,mean,72.2816960811615,72.017,72.557,0.22,37586.93495227781,37417.05,37773.15,131.02,25.48
5,Init,1.0,100,snappy,latest,mean,72.2123140335083,71.769,72.716,0.332,37618.04329499851,37333.57,37853.02,179.39,31.83
6,Init,0.25,500,snappy,latest,mean,71.56099228858947,71.4,71.907,0.192,37981.26086343662,37788.21,38062.95,107.44,38.13
7,Init,4.0,1,snappy,latest,mean,71.61302065849304,71.321,71.751,0.154,37949.64385152493,37868.7,38120.2,90.95,44.43
8,Init,1.0,100,none,latest,mean,71.80161929130554,71.491,72.021,0.178,37882.2181119834,37769.25,38078.81,105.2,50.75
9,Init,0.5,500,none,latest,mean,72.37967472076416,72.209,72.596,0.144,37543.884611633235,37423.07,37649.27,82.5,57.11
10,Init,8.0,1,none,zipfian,mean,72.60131468772889,72.4,72.75,0.129,37441.049799259585,37334.66,37536.11,71.42,63.5
11,BO,0.25,1,none,uniform,mean,72.200807762146,71.776,72.526,0.243,37671.46090641957,37488.83,37904.03,133.18,69.85
12,BO,0.25,1,none,zipfian,mean,72.49761686325073,72.076,72.87,0.307,37507.1283128895,37304.73,37722.5,164.15,76.23
13,BO,0.25,1,none,latest,mean,72.15039253234863,71.95,72.524,0.21,37681.91825099967,37465.24,37777.61,121.35,82.57
14,BO,0.25,1,snappy,uniform,mean,73.20652270317078,71.657,77.842,2.344,37658.44189811199,37340.65,37949.54,248.37,89.01
15,BO,0.25,1,snappy,zipfian,mean,72.11273045539856,71.834,72.383,0.221,37704.57899121494,37554.28,37849.67,124.24,95.36
16,BO,0.25,1,snappy,latest,mean,71.47012500762939,71.242,71.834,0.231,38032.711815626724,37825.62,38191.85,140.69,101.65
17,BO,0.25,1,zstd,uniform,mean,72.9661919116974,72.287,73.796,0.485,37267.375591598815,36824.47,37575.78,246.07,108.07
18,BO,0.25,1,zstd,zipfian,mean,73.49256587028503,72.522,74.499,0.716,37114.504510013045,36739.91,37477.86,255.59,114.53
19,BO,1.0,1,snappy,latest,mean,71.83484110832214,71.451,72.068,0.23,37848.055909652176,37698.06,38051.07,123.84,120.85
20,BO,0.5,500,snappy,latest,mean,72.19545531272888,71.729,72.473,0.27,37627.30548084511,37474.02,37894.49,151.64,127.2
21,BO,0.25,1,zstd,latest,mean,72.24365077018737,71.484,73.269,0.7,37645.631154690716,37103.06,38076.54,392.5,133.56
22,BO,0.5,1,snappy,latest,mean,71.69691014289856,71.188,72.335,0.378,37911.749701154375,37577.98,38185.02,204.03,139.87
23,BO,6.0,1,snappy,latest,mean,71.8702977657318,71.538,72.143,0.239,37819.43121037005,37674.76,37994.03,124.07,146.19
24,BO,0.25,100,none,uniform,mean,72.63224110603332,72.153,72.881,0.276,37430.61752603839,37298.21,37687.52,142.81,152.58
25,BO,4.0,100,none,latest,mean,71.85948014259338,71.384,72.121,0.268,37848.18987979631,37714.17,38110.55,143.02,158.91
26,BO,2.0,1,none,latest,mean,71.87797269821166,71.539,72.185,0.225,37834.847858260386,37673.65,38022.81,122.64,165.23
27,BO,0.25,500,zstd,latest,mean,72.80977692604066,72.22,73.349,0.403,37335.53726055536,37032.75,37659.24,221.84,171.64
28,BO,0.25,100,none,latest,mean,72.1449224948883,71.787,72.621,0.313,37732.47012861672,37448.8,37875.99,153.33,177.99
29,BO,6.0,1,none,latest,mean,71.80007691383362,71.484,72.233,0.272,37873.79916788249,37599.51,38066.91,165.76,184.31
30,BO,8.0,100,none,latest,mean,72.04451141357421,71.552,72.47,0.307,37744.29826803878,37494.87,38005.88,170.68,190.65
31,BO,4.0,1,zstd,latest,mean,72.03430819511414,71.647,72.415,0.29,37784.53453457788,37526.75,38014.91,184.3,196.99
32,BO,0.25,100,snappy,latest,mean,71.97753720283508,71.65,72.367,0.278,37757.389972628844,37589.57,37928.17,137.87,203.32
33,BO,8.0,100,snappy,latest,mean,72.14630637168884,71.801,72.453,0.246,37656.72625764678,37487.74,37852.46,133.74,209.67
34,BO,8.0,1,zstd,latest,mean,71.8903431892395,71.625,72.42,0.288,37854.490825414505,37586.26,38009.26,146.82,216.0
35,BO,8.0,1,zstd,zipfian,mean,72.85843930244445,72.443,73.387,0.331,37343.60263742978,37029.54,37572.47,192.59,222.4
36,BO,0.25,500,snappy,zipfian,mean,72.05315861701965,71.483,72.444,0.335,37749.944592421,37515.2,38053.33,179.57,228.74
37,BO,8.0,100,zstd,latest,mean,72.34254794120788,72.006,72.648,0.252,37630.01637014252,37489.93,37826.74,129.35,235.11
38,BO,0.25,100,none,zipfian,mean,72.79424772262573,72.183,73.81,0.572,37458.39679008273,37303.65,37682.52,164.33,241.51
39,BO,8.0,500,none,latest,mean,72.13187489509582,71.995,72.303,0.112,37708.154770547975,37606.69,37777.06,60.65,247.86
40,BO,8.0,500,none,zipfian,mean,72.58444881439209,72.187,72.853,0.263,37433.2569867735,37286.26,37650.93,144.31,254.25
41,BO,2.0,1,snappy,latest,mean,72.04158997535706,71.859,72.445,0.208,37718.86848933507,37491.03,37816.12,117.32,260.59
42,BO,2.0,100,none,latest,mean,71.72808213233948,71.396,72.067,0.212,37908.23830776962,37719.17,38102.61,122.51,266.9
43,BO,4.0,1,none,latest,mean,72.12698731422424,71.668,72.49,0.305,37704.07941389861,37519.6,37952.91,161.12,273.25
44,BO,8.0,1,none,latest,mean,71.78980126380921,71.14,72.207,0.404,37882.22783034344,37662.57,38251.77,223.14,279.56
45,BO,1.0,1,none,latest,mean,72.0633327960968,71.683,72.424,0.296,37739.46640722192,37541.06,37957.42,165.39,285.91
46,BO,6.0,1,zstd,latest,mean,71.87448654174804,71.216,72.447,0.443,37887.465674649946,37548.22,38268.93,255.86,292.23
47,BO,0.25,100,snappy,uniform,mean,72.19326410293579,72.057,72.352,0.126,37658.101293984044,37550.42,37774.83,84.17,298.59
48,BO,0.5,100,none,latest,mean,72.03258700370789,71.787,72.421,0.252,37745.67744095193,37535.56,37871.5,134.63,304.92
49,BO,0.25,100,snappy,zipfian,mean,72.34155740737916,72.084,72.481,0.151,37574.610895726146,37502.01,37712.5,77.41,311.29
50,BO,6.0,100,none,latest,mean,72.05326223373413,71.823,72.538,0.26,37745.80640462226,37495.97,37865.34,136.96,317.63
51,BO,8.0,1,snappy,latest,mean,71.66983695030213,71.575,71.785,0.081,37925.10189202927,37844.63,37982.76,53.29,323.94
52,BO,8.0,100,snappy,uniform,mean,72.55306520462037,71.919,73.338,0.539,37433.6708368289,36993.15,37779.29,298.98,330.32
53,BO,0.25,100,zstd,uniform,mean,73.11790461540222,72.646,73.455,0.29,37174.88870170512,37004.38,37376.08,135.2,336.75
54,BO,8.0,500,snappy,latest,mean,71.99097304344177,71.843,72.387,0.204,37758.66292832976,37522.9,37894.49,128.61,343.09
55,BO,2.0,1,zstd,latest,mean,71.97506065368653,71.518,72.482,0.324,37805.736920568874,37470.18,38040.33,195.11,349.42
56,BO,8.0,500,zstd,latest,mean,71.73103218078613,71.529,71.984,0.205,37960.27950774953,37801.6,38077.67,121.05,355.74
57,BO,6.0,500,zstd,latest,mean,71.91357254981995,71.457,72.274,0.329,37869.61434418118,37645.4,38164.52,207.6,362.07
58,BO,2.0,100,zstd,latest,mean,71.80572228431701,71.448,72.332,0.321,37923.6363461329,37613.32,38165.09,191.5,368.39
59,BO,1.0,100,zstd,latest,mean,72.14929513931274,71.753,72.658,0.291,37748.0823752088,37469.08,37956.29,157.61,374.74
