evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
1,1,2.0,100,snappy,zipfian,mean,72.42489175796509,72.198,72.682,0.21,37492.03946286549,37345.0,37615.53,114.59,True,6.37,False
2,2,0.25,100,snappy,zipfian,mean,72.09780588150025,71.583,72.426,0.329,37741.47083535216,37531.7,37989.52,152.44,True,12.71,False
3,1,0.5,100,snappy,zipfian,mean,72.48003363609314,72.087,72.853,0.294,37477.12992296876,37259.13,37701.95,161.91,False,19.08,False
4,1,1.0,100,snappy,zipfian,mean,72.14693703651429,71.819,72.391,0.203,37658.93852801873,37535.01,37859.74,116.65,False,25.43,False
5,1,4.0,100,snappy,zipfian,mean,72.51313948631287,72.328,72.644,0.115,37459.17397702725,37397.38,37540.51,51.84,False,31.81,False
6,1,6.0,100,snappy,zipfian,mean,72.19014348983765,71.823,72.507,0.258,37636.29340521649,37477.31,37837.92,140.7,False,38.15,False
7,1,8.0,100,snappy,zipfian,mean,72.1470709323883,71.926,72.448,0.194,37654.44477283838,37496.52,37778.17,105.93,False,44.5,False
8,2,0.25,1,snappy,zipfian,mean,72.31604990959167,71.794,72.733,0.422,37597.11630251388,37402.29,37867.02,217.4,False,50.86,False
9,2,0.25,500,snappy,zipfian,mean,72.25110869407654,72.044,72.417,0.131,37642.4816685029,37571.36,37721.39,52.35,False,57.21,False
10,2,0.25,100,none,zipfian,mean,72.18313031196594,71.805,72.882,0.397,37684.852778548535,37306.91,37902.9,213.82,False,63.56,False
11,2,0.25,100,zstd,zipfian,mean,73.52250752449035,72.842,74.829,0.711,37088.907804094655,36808.05,37346.09,202.96,False,70.02,False
12,2,0.25,100,snappy,uniform,mean,72.04374504089355,71.852,72.278,0.148,37762.907893117925,37663.12,37826.74,66.5,False,76.36,False
13,3,0.25,100,snappy,latest,mean,71.4167562007904,70.584,71.963,0.471,38066.11098150951,37788.21,38518.83,254.1,True,82.65,False
14,3,0.5,100,snappy,latest,mean,71.66516461372376,71.408,71.882,0.189,37920.32182073197,37820.59,38054.47,95.11,False,88.95,False
15,3,1.0,100,snappy,latest,mean,71.86950173377991,71.511,72.718,0.441,37807.50602090142,37343.91,37998.55,241.21,False,95.27,False
16,3,2.0,100,snappy,latest,mean,71.78055214881897,71.084,72.194,0.374,37859.90812551756,37626.59,38251.2,211.43,False,101.59,False
17,3,4.0,100,snappy,latest,mean,71.81259322166443,71.449,72.351,0.296,37840.465599080766,37536.11,38055.03,169.09,False,107.91,False
18,3,6.0,100,snappy,latest,mean,71.59530820846558,71.065,72.034,0.318,37971.78700902844,37725.84,38268.93,180.7,False,114.21,False
19,3,8.0,100,snappy,latest,mean,71.92266368865967,71.499,72.793,0.461,37777.66045189585,37296.58,37995.16,253.84,False,120.53,False
20,3,0.25,1,snappy,latest,mean,71.77020688056946,71.231,72.5,0.428,37858.17350060767,37447.7,38174.77,243.18,False,126.85,False
21,3,0.25,500,snappy,latest,mean,71.82587995529175,71.264,72.3,0.453,37827.66387082277,37563.09,38140.08,254.68,False,133.17,False
22,3,0.25,100,none,latest,mean,71.84692764282227,71.346,72.301,0.358,37826.432003348695,37555.38,38090.14,198.03,False,139.49,False
23,3,0.25,100,zstd,latest,mean,72.28351874351502,71.782,72.71,0.374,37623.18978974789,37392.46,37921.43,207.05,False,145.84,False
24,3,0.25,100,snappy,uniform,mean,72.04374504089355,71.852,72.278,0.148,37762.907893117925,37663.12,37826.74,66.5,False,145.84,False
25,3,0.25,100,snappy,zipfian,mean,72.09780588150025,71.583,72.426,0.329,37741.47083535216,37531.7,37989.52,152.44,False,145.84,False
26,4,6.0,500,zstd,latest,mean,71.72335405349732,71.056,72.225,0.444,37947.05249802107,37673.65,38337.13,252.59,True,152.15,True
27,4,0.25,500,zstd,latest,mean,72.27379865646363,72.078,72.61,0.214,37636.28050423757,37489.38,37738.63,104.61,False,158.51,False
28,4,0.5,500,zstd,latest,mean,71.91344928741455,71.497,72.252,0.247,37848.2296000388,37631.01,38081.07,147.98,False,164.84,False
29,4,1.0,500,zstd,latest,mean,71.9394268989563,71.266,72.603,0.557,37847.26432939756,37471.82,38218.65,315.46,False,171.16,False
30,4,2.0,500,zstd,latest,mean,71.81823530197144,71.381,72.228,0.311,37905.1949734805,37659.8,38153.15,177.68,False,177.48,False
31,4,4.0,500,zstd,latest,mean,71.86210613250732,71.376,72.184,0.286,37897.65400856336,37715.83,38173.63,162.86,False,183.8,False
32,4,8.0,500,zstd,latest,mean,71.98454165458679,71.612,72.542,0.304,37806.76493357577,37483.34,38013.22,174.61,False,190.14,False
33,4,6.0,1,zstd,latest,mean,71.9699366569519,71.519,72.299,0.357,37815.280597562654,37623.82,38072.58,200.47,False,196.47,False
34,4,6.0,100,zstd,latest,mean,72.13336129188538,71.898,72.407,0.198,37720.7261093806,37553.18,37855.26,112.25,False,202.81,False
35,4,6.0,500,none,latest,mean,72.07216939926147,71.777,72.261,0.17,37731.72162766759,37619.95,37883.83,89.25,False,209.15,False
36,5,6.0,500,snappy,latest,mean,71.62776250839234,71.245,72.333,0.391,37952.820808354525,37547.67,38161.11,217.73,True,215.45,False
37,5,6.0,500,snappy,uniform,mean,72.56718230247498,71.716,74.018,0.813,37531.49525501239,37173.64,37879.35,265.61,False,221.83,False
38,5,6.0,500,snappy,zipfian,mean,72.48728523254394,72.332,72.707,0.136,37475.24658282077,37352.09,37544.91,70.39,False,228.21,False
39,5,0.25,500,snappy,latest,mean,71.82587995529175,71.264,72.3,0.453,37827.66387082277,37563.09,38140.08,254.68,False,228.21,False
40,6,0.5,500,snappy,latest,mean,71.59441561698914,71.439,71.76,0.118,37964.947384012055,37877.67,38036.37,61.75,True,234.51,False
41,5,1.0,500,snappy,latest,mean,71.88315534591675,71.582,72.331,0.263,37801.73435928615,37544.91,37968.68,147.89,False,240.83,False
42,5,2.0,500,snappy,latest,mean,71.75327610969543,71.153,72.512,0.454,37877.44822371716,37453.73,38207.81,252.35,False,247.14,False
43,5,4.0,500,snappy,latest,mean,72.05351734161377,71.713,72.785,0.392,37698.73309565474,37302.02,37886.08,214.36,False,253.48,False
44,5,8.0,500,snappy,latest,mean,71.92869229316712,71.559,72.173,0.202,37779.51788620564,37642.08,37989.52,114.0,False,259.81,False
45,6,0.5,1,snappy,latest,mean,71.63940238952637,71.161,72.47,0.466,37933.97598491446,37486.64,38194.7,249.0,False,266.11,False
46,6,0.5,100,snappy,latest,mean,71.66516461372376,71.408,71.882,0.189,37920.32182073197,37820.59,38054.47,95.11,False,266.11,False
47,6,0.5,500,none,latest,mean,72.00015716552734,71.571,72.916,0.492,37759.895519306,37258.58,38000.24,274.24,False,272.45,False
48,6,0.5,500,zstd,latest,mean,71.91344928741455,71.497,72.252,0.247,37848.2296000388,37631.01,38081.07,147.98,False,272.45,False
49,6,0.5,500,snappy,uniform,mean,72.12824211120605,71.709,72.554,0.313,37672.37877627817,37415.96,37902.9,188.59,False,278.79,False
50,6,0.5,500,snappy,zipfian,mean,72.21113748550415,71.968,72.372,0.148,37611.83733187898,37517.4,37748.09,81.81,False,285.14,False
51,6,0.25,500,snappy,latest,mean,71.82587995529175,71.264,72.3,0.453,37827.66387082277,37563.09,38140.08,254.68,False,285.14,False
52,6,1.0,500,snappy,latest,mean,71.88315534591675,71.582,72.331,0.263,37801.73435928615,37544.91,37968.68,147.89,False,285.14,False
53,6,2.0,500,snappy,latest,mean,71.75327610969543,71.153,72.512,0.454,37877.44822371716,37453.73,38207.81,252.35,False,285.14,False
54,6,4.0,500,snappy,latest,mean,72.05351734161377,71.713,72.785,0.392,37698.73309565474,37302.02,37886.08,214.36,False,285.14,False
55,6,6.0,500,snappy,latest,mean,71.62776250839234,71.245,72.333,0.391,37952.820808354525,37547.67,38161.11,217.73,False,285.14,False
56,6,8.0,500,snappy,latest,mean,71.92869229316712,71.559,72.173,0.202,37779.51788620564,37642.08,37989.52,114.0,False,285.14,False
57,6,0.5,1,snappy,latest,mean,71.63940238952637,71.161,72.47,0.466,37933.97598491446,37486.64,38194.7,249.0,False,285.14,False
58,6,0.5,100,snappy,latest,mean,71.66516461372376,71.408,71.882,0.189,37920.32182073197,37820.59,38054.47,95.11,False,285.14,False
59,6,0.5,500,none,latest,mean,72.00015716552734,71.571,72.916,0.492,37759.895519306,37258.58,38000.24,274.24,False,285.14,False
60,6,0.5,500,zstd,latest,mean,71.91344928741455,71.497,72.252,0.247,37848.2296000388,37631.01,38081.07,147.98,False,285.14,False
61,6,0.5,500,snappy,uniform,mean,72.12824211120605,71.709,72.554,0.313,37672.37877627817,37415.96,37902.9,188.59,False,285.14,False
62,6,0.5,500,snappy,zipfian,mean,72.21113748550415,71.968,72.372,0.148,37611.83733187898,37517.4,37748.09,81.81,False,285.14,False
63,7,4.0,1,none,latest,mean,72.11239652633667,71.813,72.298,0.178,37815.724301842194,37571.91,38200.4,220.55,True,291.48,True
64,7,0.25,1,none,latest,mean,71.90252470970154,71.265,72.29,0.374,37815.8115579203,37593.98,38187.3,218.38,False,297.81,False
65,8,0.5,1,none,latest,mean,71.76065044403076,71.598,71.95,0.142,37902.06047435118,37798.25,38000.8,79.61,True,304.12,False
66,7,1.0,1,none,latest,mean,71.83595027923585,71.201,72.382,0.391,37856.839525143165,37571.91,38189.58,206.88,False,310.44,False
67,7,2.0,1,none,latest,mean,72.07697134017944,71.764,72.492,0.248,37730.14986995239,37489.38,37896.17,141.22,False,316.78,False
68,7,6.0,1,none,latest,mean,72.19790287017823,71.772,72.749,0.402,37654.15968582815,37339.01,37930.42,233.7,False,323.13,False
69,7,8.0,1,none,latest,mean,71.83204627037048,71.325,72.243,0.337,37870.60056243333,37638.76,38174.2,195.0,False,329.45,False
70,8,0.5,100,none,latest,mean,72.13295850753784,71.632,72.553,0.317,37693.75791114437,37453.18,37961.36,173.96,False,335.8,False
71,8,0.5,500,none,latest,mean,72.00015716552734,71.571,72.916,0.492,37759.895519306,37258.58,38000.24,274.24,False,335.8,False
72,8,0.5,1,snappy,latest,mean,71.63940238952637,71.161,72.47,0.466,37933.97598491446,37486.64,38194.7,249.0,False,335.8,False
73,9,0.5,1,zstd,latest,mean,71.70069985389709,71.439,72.086,0.237,37968.10986611928,37760.34,38128.71,130.3,True,342.11,False
74,9,0.5,1,zstd,uniform,mean,72.78594546318054,72.319,73.881,0.558,37429.19129458539,37088.01,37600.61,179.75,False,348.5,False
75,9,0.5,1,zstd,zipfian,mean,72.99686908721924,72.345,73.764,0.501,37250.99794852945,36857.87,37611.66,269.82,False,354.92,False
76,9,0.25,1,zstd,latest,mean,72.3623016834259,71.873,72.66,0.266,37589.15061524184,37427.99,37828.41,132.37,False,361.28,False
77,9,1.0,1,zstd,latest,mean,72.02370519638062,71.471,72.385,0.302,37796.6688960956,37613.32,38117.93,170.0,False,367.62,False
78,9,2.0,1,zstd,latest,mean,71.87541923522949,71.233,72.319,0.37,37869.27423082296,37610.0,38259.78,217.56,False,373.94,False
79,9,4.0,1,zstd,latest,mean,71.9517761707306,71.583,72.529,0.337,37844.23681800517,37513.55,38031.29,189.2,False,380.27,False
80,9,6.0,1,zstd,latest,mean,71.9699366569519,71.519,72.299,0.357,37815.280597562654,37623.82,38072.58,200.47,False,380.27,False
81,9,8.0,1,zstd,latest,mean,72.17974243164062,71.561,72.845,0.421,37729.80905110507,37370.08,38074.27,230.76,False,386.62,False
82,9,0.5,100,zstd,latest,mean,71.90121088027954,71.236,72.324,0.393,37882.53759807719,37611.11,38247.77,230.25,False,392.95,False
83,9,0.5,500,zstd,latest,mean,71.91344928741455,71.497,72.252,0.247,37848.2296000388,37631.01,38081.07,147.98,False,392.95,False
84,9,0.5,1,none,latest,mean,71.76065044403076,71.598,71.95,0.142,37902.06047435118,37798.25,38000.8,79.61,False,392.95,False
85,9,0.5,1,snappy,latest,mean,71.63940238952637,71.161,72.47,0.466,37933.97598491446,37486.64,38194.7,249.0,False,392.95,False
86,9,0.5,1,zstd,uniform,mean,72.78594546318054,72.319,73.881,0.558,37429.19129458539,37088.01,37600.61,179.75,False,392.95,False
87,9,0.5,1,zstd,zipfian,mean,72.99686908721924,72.345,73.764,0.501,37250.99794852945,36857.87,37611.66,269.82,False,392.95,False
88,10,1.0,100,zstd,latest,mean,71.92818694114685,71.529,72.472,0.316,37845.320301131935,37555.93,38078.24,174.06,True,399.27,True
89,10,0.25,100,zstd,latest,mean,72.28351874351502,71.782,72.71,0.374,37623.18978974789,37392.46,37921.43,207.05,False,399.27,False
90,10,0.5,100,zstd,latest,mean,71.90121088027954,71.236,72.324,0.393,37882.53759807719,37611.11,38247.77,230.25,False,399.27,False
