generation,evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_best_of_gen,elapsed_minutes
1,1,1.0,1,none,uniform,mean,72.39066967964172,72.22,72.669,0.155,37538.944361351416,37403.39,37642.63,85.71,False,6.37
1,2,0.25,500,none,latest,mean,71.85794034004212,71.637,72.506,0.329,37841.750959130295,37499.82,37953.48,174.85,True,12.69
1,3,8.0,500,snappy,zipfian,mean,72.27881097793579,71.851,72.595,0.289,37584.55004709126,37432.37,37823.94,151.57,False,19.04
1,4,0.25,100,snappy,zipfian,mean,72.19612517356873,71.909,72.62,0.24,37653.97183466991,37415.41,37816.12,135.63,False,25.39
1,5,6.0,1,zstd,zipfian,mean,72.19855570793152,71.82,72.417,0.203,37698.2348360101,37607.24,37849.11,80.79,False,31.74
1,6,2.0,500,zstd,uniform,mean,73.19336676597595,71.776,77.104,1.992,37725.96773192311,37377.17,37932.67,206.01,False,38.18
1,7,4.0,100,zstd,zipfian,mean,72.70863971710205,72.301,72.914,0.228,37417.15800407222,37273.77,37672.54,142.58,False,44.57
1,8,0.25,500,none,zipfian,mean,72.47298998832703,71.615,73.05,0.502,37535.88825437603,37243.95,38011.52,273.5,False,50.94
1,9,4.0,1,zstd,uniform,mean,72.41835145950317,71.796,72.927,0.4,37566.870468511166,37304.19,37916.38,216.12,False,57.31
1,10,6.0,1,snappy,uniform,mean,72.15301976203918,71.874,72.345,0.173,37674.31329310087,37542.71,37820.03,111.32,False,63.66
1,11,0.5,1,none,uniform,mean,72.129070854187,71.569,72.678,0.386,37676.15332677434,37346.09,37985.01,219.68,False,70.0
2,12,0.25,500,none,latest,mean,71.85794034004212,71.637,72.506,0.329,37841.750959130295,37499.82,37953.48,174.85,True,70.0
2,13,6.0,500,snappy,uniform,mean,72.46181807518005,72.124,72.81,0.285,37489.72783761105,37282.46,37681.97,159.0,False,76.37
2,14,0.25,1,zstd,zipfian,mean,72.7704409122467,72.421,73.153,0.276,37366.32569637853,37181.74,37568.61,136.65,False,82.77
2,15,2.0,500,none,uniform,mean,72.63624987602233,72.231,72.891,0.253,37428.96541486256,37267.8,37664.78,141.35,False,89.16
2,16,0.25,500,none,latest,mean,71.85794034004212,71.637,72.506,0.329,37841.750959130295,37499.82,37953.48,174.85,False,89.16
2,17,0.25,500,snappy,uniform,mean,72.09324703216552,71.79,72.478,0.239,37712.82419318674,37500.92,37872.06,127.87,False,95.5
2,18,8.0,100,zstd,uniform,mean,72.32462677955627,71.835,73.061,0.449,37618.13951658398,37207.14,37926.49,262.5,False,101.86
2,19,6.0,500,zstd,zipfian,mean,72.44729404449463,71.883,73.171,0.437,37565.55790174239,37178.5,37876.55,234.81,False,108.23
2,20,0.25,100,snappy,latest,mean,71.89100742340088,71.596,72.434,0.329,37822.84409619248,37488.83,37990.09,185.55,False,114.55
2,21,0.25,100,snappy,zipfian,mean,72.19612517356873,71.909,72.62,0.24,37653.97183466991,37415.41,37816.12,135.63,False,114.55
2,22,6.0,100,zstd,latest,mean,71.94504261016846,71.598,72.268,0.255,37826.80679550555,37664.23,38013.22,124.0,False,120.88
3,23,0.25,500,none,latest,mean,71.85794034004212,71.637,72.506,0.329,37841.750959130295,37499.82,37953.48,174.85,True,120.88
3,24,0.25,100,snappy,zipfian,mean,72.19612517356873,71.909,72.62,0.24,37653.97183466991,37415.41,37816.12,135.63,False,120.88
3,25,6.0,100,snappy,uniform,mean,72.57118496894836,71.978,73.473,0.495,37541.14132258231,37451.54,37748.65,106.5,False,127.26
3,26,0.25,100,zstd,latest,mean,72.29388303756714,71.96,72.623,0.247,37604.36052509176,37431.83,37754.77,128.0,False,133.62
3,27,0.25,100,zstd,zipfian,mean,74.06701345443726,72.778,78.123,2.035,37225.92296485168,37104.14,37381.54,102.18,False,140.13
3,28,8.0,500,zstd,zipfian,mean,72.5412293434143,72.081,73.312,0.414,37521.73000607236,37089.62,37785.98,233.97,False,146.51
3,29,2.0,500,zstd,zipfian,mean,72.6681921005249,72.432,72.904,0.155,37428.90188508495,37314.52,37543.26,72.6,False,152.89
3,30,0.25,1,zstd,latest,mean,72.14636688232422,71.783,72.425,0.261,37700.11111643388,37566.95,37893.93,136.64,False,159.24
3,31,0.25,500,none,latest,mean,71.85794034004212,71.637,72.506,0.329,37841.750959130295,37499.82,37953.48,174.85,False,159.24
3,32,6.0,100,none,zipfian,mean,72.53746609687805,72.442,72.647,0.074,37472.9630133763,37399.02,37510.81,40.15,False,165.62
3,33,0.25,100,snappy,latest,mean,71.89100742340088,71.596,72.434,0.329,37822.84409619248,37488.83,37990.09,185.55,False,165.62
4,34,0.25,500,none,latest,mean,71.85794034004212,71.637,72.506,0.329,37841.750959130295,37499.82,37953.48,174.85,True,165.62
4,35,0.25,100,zstd,uniform,mean,73.06623134613037,72.851,73.645,0.293,37220.48473572823,36865.3,37387.55,182.83,False,172.04
4,36,0.25,1,snappy,zipfian,mean,72.30236940383911,71.924,72.758,0.352,37608.19104416504,37347.73,37793.23,177.74,False,178.4
4,37,4.0,500,snappy,zipfian,mean,72.34925875663757,72.121,72.626,0.19,37555.58024074941,37396.83,37683.08,108.04,False,184.76
4,38,8.0,500,zstd,zipfian,mean,72.5412293434143,72.081,73.312,0.414,37521.73000607236,37089.62,37785.98,233.97,False,184.76
4,39,0.25,100,none,uniform,mean,72.13677258491516,71.73,72.462,0.275,37693.19642404428,37521.8,37875.43,132.1,False,191.11
4,40,0.25,100,zstd,zipfian,mean,74.06701345443726,72.778,78.123,2.035,37225.92296485168,37104.14,37381.54,102.18,False,191.11
4,41,8.0,100,snappy,latest,mean,71.94230070114136,71.509,72.609,0.365,37781.45139596637,37397.92,38005.88,208.94,False,197.43
4,42,0.25,1,none,zipfian,mean,72.14766788482666,72.019,72.263,0.089,37697.73848954699,37621.61,37790.44,67.42,False,203.78
4,43,0.25,100,snappy,latest,mean,71.89100742340088,71.596,72.434,0.329,37822.84409619248,37488.83,37990.09,185.55,False,203.78
4,44,0.25,100,snappy,latest,mean,71.89100742340088,71.596,72.434,0.329,37822.84409619248,37488.83,37990.09,185.55,False,203.78
5,45,0.25,500,none,latest,mean,71.85794034004212,71.637,72.506,0.329,37841.750959130295,37499.82,37953.48,174.85,False,203.78
