evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
1,0.25,1,none,uniform,mean,72.5325581073761,71.631,73.04,0.584,37463.70954898104,37134.82,37958.54,327.63,6.38
2,0.5,1,none,uniform,mean,72.16674485206605,71.701,72.592,0.296,37680.255028447405,37459.21,37920.87,152.21,12.73
3,1.0,1,none,uniform,mean,72.32133026123047,72.068,72.578,0.165,37589.70473315964,37446.61,37743.08,96.22,19.09
4,2.0,1,none,uniform,mean,72.47970914840698,72.042,72.733,0.232,37500.89402970016,37368.44,37738.07,125.42,25.46
5,4.0,1,none,uniform,mean,72.21997175216674,71.591,73.075,0.559,37653.424254908634,37165.55,38016.04,319.09,31.81
6,6.0,1,none,uniform,mean,72.65326991081238,72.284,72.943,0.218,37398.94388318104,37248.83,37599.51,117.04,38.2
7,8.0,1,none,uniform,mean,72.52670660018921,72.191,72.981,0.291,37488.32204817465,37264.01,37665.34,148.17,44.58
8,0.25,100,none,uniform,mean,72.23722748756408,71.94,72.632,0.308,37650.913023017216,37429.64,37837.92,180.28,50.93
9,0.5,100,none,uniform,mean,72.40105018615722,71.94,72.764,0.283,37540.82987009453,37334.66,37802.16,156.36,57.3
10,1.0,100,none,uniform,mean,72.23292293548585,71.871,72.399,0.198,37643.01673463534,37548.77,37830.65,102.02,63.65
11,2.0,100,none,uniform,mean,72.5104489326477,71.898,72.907,0.352,37491.24490642332,37277.03,37822.82,192.36,70.02
12,4.0,100,none,uniform,mean,72.14172825813293,71.826,72.484,0.25,37692.638231094395,37525.1,37863.66,131.67,76.37
13,6.0,100,none,uniform,mean,72.64714083671569,72.233,73.365,0.425,37407.53585474494,37041.32,37623.27,220.69,82.76
14,8.0,100,none,uniform,mean,72.5143012046814,72.194,73.131,0.345,37484.096359467,37141.82,37668.11,190.37,89.13
15,0.25,500,none,uniform,mean,72.19405989646911,72.069,72.317,0.088,37664.49385140815,37601.72,37712.5,40.19,95.48
16,0.5,500,none,uniform,mean,72.44385905265808,71.933,72.926,0.408,37539.60606458903,37260.75,37808.3,211.22,101.85
17,1.0,500,none,uniform,mean,72.40115485191345,72.009,73.092,0.431,37613.5223827163,37370.08,37781.52,155.85,108.22
18,2.0,500,none,uniform,mean,72.55157127380372,71.891,73.104,0.4,37466.12971461624,37175.26,37817.8,213.69,114.6
19,4.0,500,none,uniform,mean,72.64625029563904,72.099,73.146,0.338,37409.52630462057,37136.97,37704.72,182.8,120.99
20,6.0,500,none,uniform,mean,72.6597056388855,72.282,73.135,0.273,37398.941208183,37144.52,37605.03,147.33,127.37
21,8.0,500,none,uniform,mean,73.39689321517945,72.172,77.249,1.937,37558.80918197465,37379.9,37688.07,130.56,133.82
22,0.25,1,snappy,uniform,mean,71.976073884964,71.779,72.444,0.242,37790.109928293634,37615.53,37869.26,92.61,140.16
23,0.5,1,snappy,uniform,mean,72.41230797767639,72.081,72.662,0.199,37520.8956331484,37363.54,37679.2,124.56,146.52
24,1.0,1,snappy,uniform,mean,72.44969191551209,71.936,72.993,0.357,37490.78132614051,37209.3,37769.81,189.63,152.89
25,2.0,1,snappy,uniform,mean,72.22584280967712,71.739,72.82,0.357,37611.53447421733,37294.41,37886.64,191.83,159.25
26,4.0,1,snappy,uniform,mean,72.4812237739563,72.077,72.828,0.301,37469.7446485208,37272.14,37678.64,157.79,165.62
27,6.0,1,snappy,uniform,mean,72.51604351997375,71.859,73.191,0.529,37455.539618118026,37108.98,37799.93,283.01,172.0
28,8.0,1,snappy,uniform,mean,72.07601499557495,71.795,72.391,0.189,37704.76901089038,37533.35,37847.43,100.14,178.34
29,0.25,100,snappy,uniform,mean,72.19068036079406,71.908,72.477,0.196,37682.534358559366,37571.91,37815.0,93.4,184.69
30,0.5,100,snappy,uniform,mean,72.20230631828308,71.737,73.07,0.486,37619.1158725366,37145.05,37863.66,268.62,191.04
