evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_new_best,elapsed_minutes
1,4.0,500,zstd,latest,mean,72.01538910865784,71.573,72.454,0.281,37770.49401622066,37546.57,37952.35,131.77,True,6.33
2,2.0,500,zstd,zipfian,mean,72.43472075462341,72.043,72.843,0.306,37555.98271402597,37339.56,37762.57,175.84,False,12.7
3,1.0,1,none,latest,mean,72.04660058021545,71.453,72.834,0.495,37862.437375726375,37649.83,38076.54,160.45,True,19.04
4,0.5,100,zstd,uniform,mean,72.36260361671448,72.154,72.521,0.122,37582.71535360186,37518.5,37698.06,61.25,False,25.41
5,1.0,500,none,uniform,mean,72.3141743183136,71.276,72.961,0.559,37595.166519029604,37229.87,38181.03,314.91,False,31.76
6,6.0,500,zstd,latest,mean,71.99338188171387,71.665,72.297,0.262,37805.8445059205,37650.93,38027.33,145.56,False,38.1
7,2.0,1,snappy,uniform,mean,72.30104813575744,71.451,72.832,0.473,37595.0468928952,37305.28,38057.86,255.35,False,44.46
8,8.0,500,snappy,zipfian,mean,72.86560454368592,72.49,73.361,0.339,37365.975632719215,37099.3,37533.91,147.72,False,50.86
9,6.0,100,none,latest,mean,71.94830732345581,71.531,72.512,0.398,37790.96761245528,37473.47,38003.06,222.09,False,57.19
10,2.0,500,none,zipfian,mean,72.33070578575135,72.172,72.519,0.134,37582.21178244948,37473.47,37664.23,74.52,False,63.55
11,6.0,100,zstd,uniform,mean,72.71038541793823,72.382,73.105,0.257,37397.59153029476,37175.8,37569.16,142.39,False,69.94
12,8.0,500,none,uniform,mean,72.51690173149109,72.177,72.895,0.269,37493.069960613786,37285.72,37679.2,151.55,False,76.32
13,0.5,500,zstd,uniform,mean,72.69226884841919,72.362,73.252,0.312,37407.29872001398,37115.97,37612.76,166.36,False,82.71
14,0.5,1,snappy,latest,mean,71.77933511734008,71.356,72.171,0.291,37870.430055436445,37641.52,38158.27,177.64,True,89.03
15,0.25,100,snappy,latest,mean,71.77946619987488,71.063,72.126,0.369,37849.002519237496,37647.06,38248.35,207.25,False,95.34
16,1.0,500,zstd,zipfian,mean,72.2998025894165,71.862,72.785,0.364,37630.21643383735,37371.72,37883.83,191.71,False,101.7
17,4.0,100,snappy,latest,mean,71.90401420593261,71.245,72.722,0.5,37805.73185273487,37328.12,38240.92,304.51,False,108.03
18,6.0,100,snappy,uniform,mean,72.31967601776122,71.804,72.724,0.338,37564.175824270525,37332.48,37844.07,191.06,False,114.39
19,0.25,100,none,latest,mean,71.7023102760315,71.495,72.07,0.197,37921.633674827826,37714.17,38021.68,109.02,True,120.69
20,1.0,100,zstd,latest,mean,72.0050187587738,71.289,72.961,0.593,37919.02328055515,37565.85,38213.52,211.88,False,127.03
21,0.5,100,none,latest,mean,71.91207962036133,71.398,72.188,0.277,37820.67103198978,37677.53,38075.97,141.73,False,133.35
22,0.5,100,none,uniform,mean,72.55633220672607,72.289,72.82,0.204,37451.43645321913,37306.36,37612.76,112.02,False,139.73
23,6.0,500,zstd,uniform,mean,72.3347873210907,71.574,72.933,0.491,37607.882516240854,37270.52,38030.16,272.33,False,146.1
24,1.0,1,snappy,zipfian,mean,72.3159839630127,72.057,72.929,0.315,37579.74235620031,37229.87,37717.5,181.1,False,152.45
25,4.0,100,zstd,zipfian,mean,72.50830416679382,71.894,73.008,0.379,37538.133960226754,37284.09,37792.67,175.08,False,158.83
26,0.5,1,zstd,latest,mean,71.99538345336914,71.504,72.328,0.285,37800.24486856235,37629.35,38048.24,143.29,False,165.16
27,6.0,500,none,zipfian,mean,72.43230996131896,71.916,72.776,0.305,37536.09642224859,37347.18,37811.65,169.12,False,171.53
28,4.0,100,snappy,zipfian,mean,72.44951481819153,71.885,72.888,0.33,37489.495651950085,37236.36,37825.06,193.05,False,177.9
29,1.0,500,none,latest,mean,71.65776653289795,71.276,72.146,0.308,37957.867477653585,37682.52,38175.34,172.88,True,184.21
30,8.0,100,snappy,zipfian,mean,72.41639995574951,71.931,73.454,0.586,37626.204202878194,37403.39,37778.73,151.89,False,190.58
31,6.0,500,none,uniform,mean,72.28370823860169,71.941,72.538,0.21,37604.394518697416,37485.54,37799.93,116.32,False,196.93
32,0.5,100,none,zipfian,mean,72.43026218414306,72.157,72.755,0.205,37522.558963290925,37342.28,37664.23,108.95,False,203.3
33,8.0,1,none,uniform,mean,72.48846459388733,72.015,72.999,0.365,37491.667521200965,37178.5,37753.1,210.73,False,209.68
34,0.5,1,zstd,uniform,mean,72.71271886825562,72.258,73.066,0.337,37432.84508182369,37186.6,37796.58,242.5,False,216.07
35,0.25,1,snappy,uniform,mean,72.05114269256592,71.358,72.521,0.401,37732.59259111596,37475.66,38113.95,222.23,False,222.41
36,6.0,500,zstd,zipfian,mean,72.76870775222778,72.359,73.203,0.291,37377.563855014,37149.37,37602.27,150.8,False,228.81
37,0.5,1,zstd,zipfian,mean,72.52642307281494,72.048,73.018,0.366,37501.48639990526,37236.36,37739.19,183.73,False,235.18
38,8.0,100,zstd,latest,mean,71.66453857421875,71.175,72.579,0.503,37997.74306451825,37488.28,38279.23,275.88,True,241.49
39,2.0,500,zstd,uniform,mean,72.59620103836059,72.292,72.902,0.213,37472.967273592585,37318.87,37648.17,118.81,False,247.87
40,6.0,1,snappy,latest,mean,71.82957372665405,71.694,72.05,0.119,37850.58392786283,37817.24,37894.49,29.3,False,254.19
41,1.0,100,snappy,zipfian,mean,72.50116143226623,72.143,73.061,0.37,37456.85991044169,37144.52,37662.57,207.81,False,260.57
42,4.0,500,none,latest,mean,72.6488221168518,71.319,76.465,1.931,37966.75430704562,37629.9,38148.03,183.81,False,266.95
43,1.0,100,snappy,uniform,mean,72.2492657661438,71.862,72.629,0.247,37604.3602307728,37428.54,37818.91,128.03,False,273.31
44,6.0,1,none,zipfian,mean,72.6721203327179,72.405,73.246,0.325,37394.1027868312,37087.47,37532.8,169.18,False,279.7
45,0.25,100,snappy,zipfian,mean,72.1069893360138,71.801,72.604,0.273,37707.88822312178,37439.49,37880.47,151.26,False,286.04
46,6.0,1,snappy,zipfian,mean,72.35884227752686,72.123,72.571,0.15,37543.14138288993,37413.77,37674.76,88.58,False,292.4
47,2.0,1,zstd,uniform,mean,72.6450915813446,72.289,73.142,0.361,37453.24653684156,37203.35,37650.38,176.17,False,298.79
48,1.0,1,zstd,zipfian,mean,72.26217622756958,72.024,72.767,0.272,37668.85886232202,37405.03,37810.53,140.82,False,305.14
49,0.25,500,zstd,latest,mean,72.36288938522338,72.096,72.642,0.184,37581.845917639606,37453.73,37726.4,91.64,False,311.51
50,1.0,1,none,zipfian,mean,72.80435705184937,72.539,72.967,0.149,37327.44741918622,37228.24,37473.47,85.45,False,317.91
51,8.0,1,snappy,zipfian,mean,72.3698787689209,72.075,72.845,0.269,37535.558095011686,37287.89,37706.39,143.82,False,324.27
52,0.25,100,snappy,uniform,mean,72.13897233009338,71.536,72.713,0.376,37688.5024720464,37453.73,37978.25,169.75,False,330.62
53,8.0,500,zstd,zipfian,mean,72.42042837142944,72.013,72.801,0.278,37573.19485714422,37382.09,37804.39,165.43,False,336.99
54,4.0,500,none,zipfian,mean,72.3548005580902,71.878,72.602,0.28,37573.46190667867,37442.78,37849.67,158.3,False,343.35
55,0.25,100,zstd,zipfian,mean,72.74478578567505,72.134,73.112,0.349,37390.95522130027,37207.14,37689.74,172.03,False,349.74
56,0.5,500,none,latest,mean,71.68368363380432,71.46,71.832,0.15,37948.55294786502,37874.86,38062.95,72.68,False,356.05
57,0.25,1,none,latest,mean,71.91453080177307,71.61,72.166,0.201,37798.3235595146,37670.88,37957.98,105.64,False,362.38
58,4.0,1,snappy,zipfian,mean,72.14805960655212,71.731,72.448,0.251,37653.596404933465,37499.27,37863.1,129.78,False,368.72
59,2.0,100,snappy,uniform,mean,72.17531299591064,71.827,72.923,0.389,37643.23581424956,37224.99,37840.15,217.86,False,375.07
60,2.0,500,none,latest,mean,71.84989628791809,71.545,72.335,0.297,37847.593113733856,37577.98,38030.16,165.47,False,381.39
61,0.25,500,none,uniform,mean,72.3545925617218,71.759,72.808,0.366,37588.618501182435,37354.81,37912.45,197.6,False,387.76
62,6.0,1,zstd,zipfian,mean,72.54570670127869,72.415,72.817,0.141,37498.84103214278,37371.17,37555.93,67.77,False,394.13
63,1.0,100,snappy,latest,mean,71.99816546440124,71.631,72.366,0.303,37861.0065159521,37541.06,38157.7,198.45,False,400.47
64,4.0,500,snappy,uniform,mean,72.01350502967834,71.713,72.265,0.243,37726.29927222008,37585.15,37893.37,131.82,False,406.8
65,0.25,1,zstd,zipfian,mean,73.2575798034668,73.043,73.482,0.151,37104.61470646604,36994.75,37226.08,75.62,False,413.24
66,0.25,1,snappy,zipfian,mean,72.19919447898864,71.804,72.53,0.252,37664.113581266036,37469.63,37879.35,143.85,False,419.59
67,4.0,100,none,uniform,mean,72.34300622940063,71.83,73.093,0.428,37575.90332067101,37156.38,37877.11,241.77,False,425.95
68,0.25,1,none,uniform,mean,72.53323402404786,72.084,72.847,0.286,37487.166942238735,37309.08,37721.39,154.78,False,432.33
69,4.0,100,snappy,uniform,mean,71.9230194568634,71.511,72.401,0.287,37780.20701750195,37516.3,38016.6,162.27,False,438.66
70,1.0,100,none,uniform,mean,72.67416806221009,72.073,73.285,0.477,37460.67174277782,37068.68,37734.74,233.44,False,445.05
71,0.25,500,snappy,uniform,mean,71.76832556724548,71.355,72.477,0.401,37888.698649399696,37494.87,38113.39,219.49,False,451.36
72,1.0,500,zstd,latest,mean,71.99078106880188,71.635,72.465,0.33,37808.09868052148,37554.28,38045.42,185.95,False,457.69
73,6.0,1,snappy,uniform,mean,72.1209156036377,71.759,72.324,0.204,37683.231657033786,37550.42,37861.98,118.81,False,464.04
74,1.0,1,snappy,uniform,mean,72.2840814113617,72.009,72.49,0.181,37579.010564880955,37466.34,37719.72,98.21,False,470.39
75,0.25,1,snappy,latest,mean,71.73716835975647,71.347,72.474,0.392,37989.68563543512,37863.66,38098.07,78.53,False,476.71
76,4.0,100,none,zipfian,mean,72.4664306640625,72.009,73.077,0.349,37508.16905086618,37173.1,37769.81,192.42,False,483.08
77,4.0,1,none,zipfian,mean,72.428639793396,72.17,72.996,0.299,37529.22479216211,37219.04,37672.54,163.04,False,489.45
78,2.0,100,snappy,zipfian,mean,72.37115125656128,72.137,72.773,0.221,37535.55390000717,37310.17,37664.23,128.07,False,495.81
79,8.0,100,snappy,latest,mean,71.79898738861084,71.157,72.401,0.486,37843.85309186748,37514.65,38198.69,268.68,False,502.13
80,0.25,1,zstd,latest,mean,72.26403546333313,71.592,72.679,0.405,37627.58004968286,37403.39,38021.68,223.93,False,508.48
81,1.0,1,snappy,latest,mean,71.88944654464721,71.725,72.233,0.192,37825.82869519253,37615.53,37921.43,110.25,False,514.81
82,6.0,100,snappy,zipfian,mean,72.20178084373474,71.968,72.473,0.162,37635.90657345193,37465.79,37766.47,96.76,False,521.16
83,2.0,1,none,uniform,mean,72.62989587783814,72.307,73.246,0.343,37409.26934681194,37070.83,37589.57,189.47,False,527.54
84,0.25,500,none,zipfian,mean,72.29691796302795,71.818,72.833,0.394,37621.77744583641,37334.11,37884.95,218.83,False,533.9
85,1.0,100,none,latest,mean,72.06723413467407,71.612,72.549,0.298,37726.60647582175,37482.8,37976.0,157.34,False,540.24
86,1.0,500,zstd,uniform,mean,72.5348376274109,72.152,72.754,0.221,37505.316697729446,37387.0,37728.06,129.43,False,546.62
87,0.25,500,zstd,zipfian,mean,73.00461378097535,72.363,73.821,0.539,37259.90529306147,36811.23,37609.45,299.19,False,553.04
88,6.0,100,none,zipfian,mean,72.51137557029725,72.04,72.86,0.29,37489.75996567645,37290.06,37741.41,162.84,False,559.41
89,2.0,1,zstd,latest,mean,71.95311098098755,71.702,72.377,0.232,37822.35892137867,37625.48,37961.92,109.47,False,565.74
90,0.25,100,zstd,latest,mean,72.24164209365844,71.894,72.356,0.176,37664.73742202747,37584.6,37906.83,122.61,False,572.09
