evaluation_id,temperature,iteration,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,accepted,elapsed_minutes
1,1.0,0,0.25,1,zstd,uniform,mean,73.33558506965637,72.93,74.073,0.423,37179.16478062492,36986.2,37305.82,112.4,True,6.44
2,0.9253203955702536,1,6.0,1,zstd,uniform,mean,72.45148658752441,72.161,72.618,0.17,37560.51353184431,37465.24,37741.97,103.6,True,12.82
3,0.8562178344582906,1,6.0,500,zstd,uniform,mean,72.5155704498291,72.077,72.904,0.339,37538.58164422733,37327.58,37777.06,187.38,True,19.19
4,0.7922758252752513,1,6.0,500,zstd,latest,mean,72.02932991981507,71.507,72.621,0.457,37794.24060693408,37495.97,38098.07,251.84,True,25.53
5,0.7331089800444447,1,0.5,500,zstd,latest,mean,72.23216199874878,71.833,72.895,0.437,37681.96177212418,37310.17,37888.88,222.81,True,31.88
6,0.6783606914108307,1,2.0,500,zstd,latest,mean,71.69905548095703,71.191,72.306,0.37,37982.12418809894,37651.49,38274.08,210.5,True,38.19
7,0.6277009833155806,1,6.0,500,zstd,latest,mean,72.02932991981507,71.507,72.621,0.457,37794.24060693408,37495.97,38098.07,251.84,True,38.19
8,0.5808245221814101,1,0.25,500,zstd,latest,mean,72.27705397605897,72.098,72.434,0.121,37704.38286904025,37574.67,37877.67,110.66,True,44.55
9,0.5374487766218059,1,0.25,500,zstd,uniform,mean,73.04977855682372,72.658,73.421,0.307,37243.73851070269,37072.44,37451.54,143.04,True,50.97
10,0.4973123145824383,1,0.25,1,zstd,uniform,mean,73.33558506965637,72.93,74.073,0.423,37179.16478062492,36986.2,37305.82,112.4,True,50.97
11,0.4601732276513802,1,0.25,500,zstd,uniform,mean,73.04977855682372,72.658,73.421,0.307,37243.73851070269,37072.44,37451.54,143.04,True,50.97
12,0.4258076730412155,1,6.0,500,zstd,uniform,mean,72.5155704498291,72.077,72.904,0.339,37538.58164422733,37327.58,37777.06,187.38,True,50.97
13,0.3940085244553467,1,6.0,500,zstd,latest,mean,72.02932991981507,71.507,72.621,0.457,37794.24060693408,37495.97,38098.07,251.84,True,50.97
14,0.3645841237070734,1,6.0,500,snappy,latest,mean,71.86922273635864,71.38,72.264,0.301,37842.90321629129,37600.06,38086.74,190.5,True,57.29
15,0.3373571255672634,1,6.0,500,none,latest,mean,72.14766302108765,71.69,72.56,0.291,37676.92892694219,37420.34,37949.54,177.66,True,63.64
16,0.3121634288783438,1,6.0,500,zstd,latest,mean,72.02932991981507,71.507,72.621,0.457,37794.24060693408,37495.97,38098.07,251.84,True,63.64
17,0.2888511874922758,1,6.0,500,snappy,latest,mean,71.86922273635864,71.38,72.264,0.301,37842.90321629129,37600.06,38086.74,190.5,True,63.64
