step,phase,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
1,Init,6.0,500,snappy,uniform,mean,74.90546388626099,74.463,75.521,0.374,36247.30936746663,35926.8,36487.51,195.92,6.58
2,Init,8.0,1,zstd,zipfian,mean,77.01842346191407,76.405,77.832,0.477,35268.03445210475,34881.19,35487.05,211.42,13.33
3,Init,6.0,100,zstd,uniform,mean,75.33672924041748,74.747,76.185,0.497,36037.043372700486,35604.02,36317.21,240.66,19.94
4,Init,1.0,1,snappy,zipfian,mean,78.44142417907715,77.954,79.015,0.469,34583.22622419421,34335.68,34828.51,215.48,26.81
5,Init,2.0,1,none,zipfian,mean,77.02665324211121,76.822,77.145,0.112,35309.49153437089,35234.04,35423.7,65.34,33.56
6,Init,0.25,1,zstd,latest,mean,91.59893999099731,90.152,92.853,1.02,29365.348508820793,28933.42,29847.27,330.22,41.53
7,Init,8.0,1,snappy,uniform,mean,74.74445638656616,74.184,75.642,0.543,36337.38117738401,35879.97,36665.19,284.49,48.09
8,Init,0.25,100,none,uniform,mean,74.73818821907044,74.166,75.104,0.311,36329.76203553648,36146.45,36624.8,159.82,54.65
9,Init,2.0,500,zstd,latest,mean,76.15606412887573,75.674,76.612,0.333,35697.15140536921,35403.62,35949.5,188.12,61.33
10,Init,2.0,500,none,latest,mean,76.24373073577881,75.892,76.97,0.391,35700.1971065096,35351.79,35857.86,183.82,68.02
11,BO,0.25,500,zstd,uniform,mean,75.13355836868286,74.249,76.306,0.711,36258.15260214171,36052.78,36588.68,202.24,74.62
12,BO,8.0,500,snappy,latest,mean,75.86772971153259,75.347,76.534,0.529,35842.56614821024,35541.24,36131.65,252.19,81.27
13,BO,0.25,500,none,uniform,mean,74.94335498809815,74.098,75.435,0.463,36248.50436701964,35988.42,36670.96,244.45,87.85
14,BO,8.0,100,none,uniform,mean,74.7589388847351,74.035,75.587,0.496,36338.00702954742,35913.19,36718.83,257.59,94.42
15,BO,8.0,500,zstd,zipfian,mean,77.25204629898072,76.46,77.881,0.472,35161.114032798934,34869.31,35491.97,205.98,101.2
16,BO,2.0,100,snappy,uniform,mean,74.83310317993164,74.529,75.278,0.254,36295.42360387746,36044.66,36431.95,142.58,107.77
