evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
1,1,2.0,100,snappy,zipfian,mean,76.69675641059875,76.163,77.449,0.417,35418.46750954288,35084.83,35576.31,172.36,True,6.72,False
2,1,0.25,100,snappy,zipfian,mean,89.688321018219,89.049,90.057,0.353,30026.573618734907,29893.97,30232.53,121.25,False,14.53,False
3,1,0.5,100,snappy,zipfian,mean,83.54493961334228,83.251,83.947,0.284,32338.284572912224,32169.7,32458.48,118.51,False,21.83,False
4,1,1.0,100,snappy,zipfian,mean,78.54691843986511,78.09,78.885,0.259,34543.21310861936,34386.42,34756.64,122.39,False,28.71,False
5,1,4.0,100,snappy,zipfian,mean,76.82395973205567,76.438,77.064,0.234,35384.23430702104,35268.99,35574.83,117.38,False,35.44,False
6,1,6.0,100,snappy,zipfian,mean,77.03406171798706,76.328,77.524,0.489,35300.80194626519,35070.41,35640.7,234.82,False,42.19,False
7,2,8.0,100,snappy,zipfian,mean,76.77847390174865,76.266,77.311,0.406,35419.10225358313,35151.8,35686.9,204.91,True,48.93,False
8,3,8.0,1,snappy,zipfian,mean,76.59354872703553,76.284,77.103,0.295,35509.30448713749,35256.85,35660.56,145.83,True,55.64,False
9,2,8.0,500,snappy,zipfian,mean,76.65822658538818,76.329,77.132,0.29,35479.91956690212,35249.57,35635.24,139.07,False,62.36,False
10,3,8.0,1,none,zipfian,mean,77.15045051574707,76.659,77.654,0.335,35261.43158836587,35019.08,35468.36,156.45,False,69.13,False
11,3,8.0,1,zstd,zipfian,mean,77.11455383300782,76.72,78.255,0.576,35350.47049203306,35198.68,35472.79,92.22,False,75.89,False
12,12,8.0,1,snappy,uniform,mean,74.90937452316284,74.233,75.435,0.455,36261.778148802274,35984.88,36605.94,222.25,True,82.46,False
13,3,8.0,1,snappy,latest,mean,75.96194610595703,75.282,76.568,0.429,35802.80520701465,35504.27,36044.15,180.59,False,89.13,False
14,4,0.25,1,snappy,uniform,mean,74.93850750923157,74.522,75.361,0.301,36249.85270295407,36095.99,36434.02,123.8,False,95.7,False
