generation,evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_best_of_gen,elapsed_minutes
1,1,1.0,100,zstd,uniform,mean,74.82630701065064,74.157,75.288,0.373,36272.38049527472,36022.35,36624.27,197.48,False,6.57
1,2,0.5,100,none,uniform,mean,74.8679368019104,74.385,75.318,0.353,36261.3883679553,36039.59,36503.12,177.36,False,13.14
1,3,1.0,500,snappy,latest,mean,77.01300430297852,76.313,77.768,0.589,35355.90225385462,34987.02,35628.3,212.24,False,19.89
1,4,0.25,1,snappy,zipfian,mean,90.41585268974303,88.729,94.725,2.193,30121.984847032872,29957.29,30378.55,154.91,False,27.76
1,5,0.25,100,snappy,uniform,mean,74.68777313232422,74.183,75.262,0.359,36360.44100160361,36102.61,36628.46,174.09,True,34.32
1,6,1.0,100,snappy,zipfian,mean,78.64278407096863,77.938,79.271,0.473,34483.23411303669,34212.25,34829.93,212.9,False,41.2
1,7,1.0,100,snappy,latest,mean,76.81936020851136,76.464,77.402,0.342,35377.477225210154,35097.82,35548.64,164.89,False,47.94
1,8,6.0,500,snappy,uniform,mean,74.82328991889953,74.711,74.997,0.115,36296.90188948023,36187.33,36334.73,55.38,False,54.51
1,9,0.5,1,none,latest,mean,77.83402981758118,77.599,78.188,0.193,34868.63138226175,34655.48,34993.71,113.09,False,61.33
1,10,0.25,500,zstd,uniform,mean,74.97204928398132,74.366,75.828,0.54,36307.76697160557,35998.54,36514.57,196.51,False,67.91
1,11,6.0,100,none,zipfian,mean,76.897948884964,76.437,77.408,0.332,35356.248856643644,35132.98,35604.02,151.54,False,74.65
2,12,0.25,100,snappy,uniform,mean,74.68777313232422,74.183,75.262,0.359,36360.44100160361,36102.61,36628.46,174.09,False,74.65
2,13,0.25,100,zstd,uniform,mean,74.9557098865509,74.475,75.606,0.433,36240.82397963689,35886.51,36465.68,203.19,False,81.23
2,14,1.0,100,snappy,uniform,mean,74.66650085449218,74.357,75.305,0.329,36368.91168161817,36054.31,36519.26,162.4,True,87.79
2,15,0.5,1,none,uniform,mean,75.31661882400513,74.525,75.851,0.501,36047.73407945108,35762.18,36466.2,265.95,False,94.4
2,16,0.25,1,snappy,zipfian,mean,90.41585268974303,88.729,94.725,2.193,30121.984847032872,29957.29,30378.55,154.91,False,94.4
2,17,8.0,100,zstd,uniform,mean,74.96151194572448,74.217,75.517,0.461,36206.53306302456,35926.8,36586.59,233.31,False,100.98
2,18,0.25,100,snappy,uniform,mean,74.68777313232422,74.183,75.262,0.359,36360.44100160361,36102.61,36628.46,174.09,False,100.98
2,19,4.0,1,zstd,zipfian,mean,76.95871362686157,76.642,77.362,0.24,35296.035549865686,35109.37,35462.96,131.52,False,107.72
2,20,0.25,1,snappy,latest,mean,86.32637362480163,85.896,86.97,0.398,31247.812843380845,31002.87,31430.33,156.75,False,115.25
2,21,2.0,500,snappy,latest,mean,75.80526509284974,75.191,76.36,0.471,35872.129966073306,35589.66,36152.58,225.02,False,121.9
2,22,1.0,100,none,zipfian,mean,77.77010245323181,77.099,78.571,0.577,34930.28140755893,34543.25,35234.53,268.85,False,128.71
3,23,1.0,100,snappy,uniform,mean,74.66650085449218,74.357,75.305,0.329,36368.91168161817,36054.31,36519.26,162.4,True,128.71
3,24,0.5,100,zstd,uniform,mean,74.91009869575501,74.561,75.418,0.288,36257.133915298014,35965.66,36533.33,183.29,False,135.29
3,25,0.25,500,none,uniform,mean,75.03582601547241,74.487,75.751,0.456,36181.20918981848,35810.21,36463.08,236.82,False,141.88
3,26,8.0,1,zstd,uniform,mean,75.00603919029236,74.683,75.311,0.218,36186.32039133341,36035.53,36348.15,108.35,False,148.46
3,27,0.5,100,zstd,latest,mean,83.15144958496094,82.771,83.501,0.276,32482.63225537039,32352.64,32645.98,106.9,False,155.72
3,28,8.0,100,zstd,latest,mean,76.56297359466552,76.12,77.006,0.373,35495.1935767509,35286.01,35706.81,175.31,False,162.44
3,29,0.25,1,zstd,zipfian,mean,97.3514280319214,96.376,100.642,1.652,27841.19694326471,27713.13,28064.02,121.02,False,170.88
3,30,6.0,1,none,uniform,mean,75.03544692993164,74.662,75.603,0.334,36201.71702670424,35929.82,36411.74,167.77,False,177.47
3,31,8.0,100,snappy,zipfian,mean,76.74665212631226,76.525,76.978,0.145,35412.11622023565,35312.78,35539.76,78.92,False,184.2
3,32,0.25,100,snappy,uniform,mean,74.68777313232422,74.183,75.262,0.359,36360.44100160361,36102.61,36628.46,174.09,False,184.2
3,33,1.0,100,zstd,zipfian,mean,79.56900978088379,79.227,80.433,0.442,34069.91308585659,33672.69,34259.87,206.81,False,191.16
4,34,1.0,100,snappy,uniform,mean,74.66650085449218,74.357,75.305,0.329,36368.91168161817,36054.31,36519.26,162.4,True,191.16
4,35,0.25,1,none,uniform,mean,75.1729506969452,74.747,75.913,0.41,36111.78157538302,35794.18,36313.09,182.05,False,197.76
4,36,1.0,500,none,uniform,mean,75.22714018821716,74.586,76.126,0.557,36081.72428424843,35644.17,36399.31,275.58,False,204.36
4,37,2.0,100,snappy,latest,mean,76.08932070732116,75.615,76.754,0.418,35805.15892355431,35613.92,35932.35,113.78,False,211.04
4,38,0.25,100,zstd,uniform,mean,74.9557098865509,74.475,75.606,0.433,36240.82397963689,35886.51,36465.68,203.19,False,211.04
4,39,0.5,100,snappy,uniform,mean,74.8524079322815,74.331,75.509,0.381,36289.39160259692,36049.23,36540.63,159.84,False,217.61
4,40,4.0,500,none,zipfian,mean,77.08647747039795,76.14,77.674,0.569,35267.845394123266,35006.15,35632.76,242.92,False,224.37
4,41,0.5,100,zstd,uniform,mean,74.91009869575501,74.561,75.418,0.288,36257.133915298014,35965.66,36533.33,183.29,False,224.37
4,42,0.25,500,zstd,zipfian,mean,96.83139381408692,96.26,97.29,0.368,27699.82860364501,27549.4,27870.62,109.97,False,232.77
4,43,0.25,100,snappy,uniform,mean,74.68777313232422,74.183,75.262,0.359,36360.44100160361,36102.61,36628.46,174.09,False,232.77
4,44,8.0,1,zstd,latest,mean,76.42175946235656,76.171,76.839,0.222,35572.43938554553,35359.6,35701.34,116.45,False,239.47
5,45,1.0,100,snappy,uniform,mean,74.66650085449218,74.357,75.305,0.329,36368.91168161817,36054.31,36519.26,162.4,True,239.47
5,46,1.0,100,zstd,uniform,mean,74.82630701065064,74.157,75.288,0.373,36272.38049527472,36022.35,36624.27,197.48,False,239.47
5,47,1.0,100,zstd,zipfian,mean,79.56900978088379,79.227,80.433,0.442,34069.91308585659,33672.69,34259.87,206.81,False,239.47
5,48,8.0,500,none,latest,mean,76.42737922668456,76.059,76.905,0.28,35597.253381366245,35352.77,35791.18,141.53,False,246.17
5,49,8.0,1,none,zipfian,mean,77.32305946350098,77.08,77.687,0.227,35173.21353743923,34995.15,35298.17,112.19,False,252.95
5,50,0.25,1,none,uniform,mean,75.1729506969452,74.747,75.913,0.41,36111.78157538302,35794.18,36313.09,182.05,False,252.95
5,51,0.5,100,none,zipfian,mean,79.33039150238037,79.023,79.678,0.25,34251.47412438774,34019.93,34462.33,152.93,False,259.89
5,52,1.0,100,snappy,zipfian,mean,78.64278407096863,77.938,79.271,0.473,34483.23411303669,34212.25,34829.93,212.9,False,259.89
