evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
1,0.25,1,none,uniform,mean,74.94454154968261,74.685,75.301,0.201,36225.78970680755,36051.26,36347.63,97.54,6.58
2,0.5,1,none,uniform,mean,75.38553357124329,74.481,76.267,0.576,36006.61244490121,35562.96,36454.77,287.98,13.19
3,1.0,1,none,uniform,mean,74.70662384033203,74.479,74.983,0.162,36336.56446023417,36199.1,36451.66,80.92,19.75
4,2.0,1,none,uniform,mean,75.05457363128662,74.284,75.518,0.422,36172.460585323846,35936.89,36566.73,216.73,26.34
5,4.0,1,none,uniform,mean,75.42249307632446,74.691,75.996,0.433,36104.23684123488,35865.39,36382.76,181.75,32.96
6,6.0,1,none,uniform,mean,74.97536821365357,74.491,75.396,0.397,36234.9382764536,36025.89,36480.75,200.3,39.54
7,8.0,1,none,uniform,mean,75.33033246994019,74.911,75.697,0.28,36058.22688483489,35912.18,36261.14,129.83,46.15
8,0.25,100,none,uniform,mean,74.7715482711792,74.583,74.938,0.123,36312.998529920515,36221.63,36409.67,65.37,52.72
9,0.5,100,none,uniform,mean,74.94759492874145,74.572,75.257,0.284,36220.64022911475,36085.31,36407.59,140.8,59.3
10,1.0,100,none,uniform,mean,74.93605222702027,74.195,75.193,0.378,36229.63018450745,36077.17,36628.46,203.13,65.87
11,2.0,100,none,uniform,mean,74.88720769882202,74.485,75.812,0.482,36263.92153132687,35784.68,36498.95,251.42,72.45
12,4.0,100,none,uniform,mean,75.2045958995819,75.046,75.388,0.14,36112.109119501576,36029.44,36182.21,68.0,79.05
13,6.0,100,none,uniform,mean,75.17632951736451,74.221,75.77,0.527,36132.73807769645,35835.77,36624.8,269.81,85.65
14,8.0,100,none,uniform,mean,75.12363233566285,74.825,75.531,0.284,36163.37897808217,35951.52,36312.06,145.94,92.24
15,0.25,500,none,uniform,mean,75.06492938995362,74.395,75.638,0.426,36162.38738324556,35869.92,36505.72,219.93,98.83
16,0.5,500,none,uniform,mean,75.12933044433593,74.804,75.69,0.322,36124.39973805677,35845.81,36286.32,158.61,105.42
17,1.0,500,none,uniform,mean,74.66094026565551,74.425,74.902,0.157,36363.534426448,36230.35,36497.91,86.97,111.98
18,2.0,500,none,uniform,mean,74.76264095306396,74.468,74.961,0.167,36321.01493182763,36226.76,36477.11,85.32,118.54
19,4.0,500,none,uniform,mean,74.879447889328,74.12,75.439,0.434,36281.347374413264,35998.54,36665.19,217.55,125.11
20,6.0,500,none,uniform,mean,75.29129476547241,74.621,75.644,0.363,36065.12438382344,35880.47,36409.67,186.92,131.72
21,8.0,500,none,uniform,mean,74.79530339241028,74.363,75.195,0.281,36323.6729975204,36122.99,36554.72,146.53,138.29
22,0.25,1,snappy,uniform,mean,74.79401636123657,74.307,75.256,0.351,36296.736523473315,36070.56,36551.59,185.62,144.85
23,0.5,1,snappy,uniform,mean,74.9633563041687,74.333,75.618,0.428,36213.36571749189,35896.07,36534.89,214.03,151.44
24,1.0,1,snappy,uniform,mean,75.23100733757019,74.912,75.737,0.274,36075.00658394387,35836.27,36232.91,131.23,158.04
25,2.0,1,snappy,uniform,mean,75.03034172058105,74.565,75.523,0.357,36174.86123963095,35920.75,36408.63,183.61,164.62
26,4.0,1,snappy,uniform,mean,74.93883471488952,74.595,75.412,0.266,36222.3311222942,35983.36,36393.62,133.73,171.2
