evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
1,1,2.0,100,snappy,zipfian,mean,76.56121163368225,76.159,77.032,0.346,35493.939917802774,35286.5,35718.27,177.97,True,6.71,False
2,1,1.0,100,snappy,zipfian,mean,78.39464144706726,78.084,78.796,0.288,34622.06180270654,34431.74,34754.75,133.88,False,13.58,False
3,1,4.0,100,snappy,zipfian,mean,76.6994300365448,76.428,77.604,0.454,35547.29488627447,35503.78,35593.62,34.61,False,20.3,False
4,1,2.0,1,snappy,zipfian,mean,76.55076212882996,76.225,76.868,0.245,35517.926417836854,35364.98,35661.05,112.25,False,27.02,False
5,1,2.0,500,snappy,zipfian,mean,76.78583836555481,76.322,77.564,0.415,35399.14578561844,35065.61,35606.99,179.6,False,33.75,False
6,1,2.0,100,none,zipfian,mean,77.25154848098755,76.804,77.425,0.228,35201.257614202455,35120.45,35420.76,111.43,False,40.52,False
7,1,2.0,100,zstd,zipfian,mean,77.2063880443573,76.644,78.003,0.464,35202.97926251573,34868.83,35466.89,205.43,False,47.29,False
8,2,2.0,100,snappy,uniform,mean,74.7275857925415,74.207,74.966,0.29,36354.952103710864,36218.04,36630.04,149.33,True,53.85,False
9,1,2.0,100,snappy,latest,mean,76.16093020439148,75.898,76.524,0.269,35702.09335269871,35510.67,35838.78,127.86,False,60.53,False
10,2,1.0,100,snappy,uniform,mean,75.02478079795837,74.596,75.251,0.238,36196.98486653918,36070.56,36390.52,127.6,False,67.11,False
11,2,4.0,100,snappy,uniform,mean,74.75521340370179,74.373,75.202,0.337,36311.54249265928,36077.68,36509.88,172.94,False,73.68,False
12,2,2.0,1,snappy,uniform,mean,74.9388195514679,74.291,76.024,0.588,36302.90375348992,36050.75,36563.59,174.28,False,80.26,False
13,2,2.0,500,snappy,uniform,mean,74.95269131660461,74.498,75.221,0.246,36214.96690589111,36083.78,36438.17,121.59,False,86.83,False
14,2,2.0,100,none,uniform,mean,75.397385597229,74.88,75.796,0.302,36003.48615947598,35823.23,36290.44,158.59,False,93.45,False
15,3,2.0,100,zstd,uniform,mean,74.62090730667114,73.856,75.227,0.466,36392.483298824205,36086.33,36785.84,238.14,True,100.0,False
16,2,2.0,100,snappy,zipfian,mean,76.56121163368225,76.159,77.032,0.346,35493.939917802774,35286.5,35718.27,177.97,False,100.0,False
17,3,1.0,100,zstd,uniform,mean,75.11451396942138,74.512,75.635,0.391,36139.785282311306,35881.98,36448.03,198.8,False,106.6,False
18,3,4.0,100,zstd,uniform,mean,74.76855516433716,74.336,75.246,0.303,36312.83718912101,36056.85,36533.85,156.74,False,113.16,False
19,3,2.0,1,zstd,uniform,mean,74.94157748222351,74.682,75.22,0.182,36228.104356797216,36097.01,36360.02,89.21,False,119.74,False
20,3,2.0,500,zstd,uniform,mean,74.90986008644104,74.495,75.492,0.331,36241.906368117954,35950.51,36465.16,168.96,False,126.31,False
21,3,2.0,100,snappy,uniform,mean,74.7275857925415,74.207,74.966,0.29,36354.952103710864,36218.04,36630.04,149.33,False,126.31,False
22,3,2.0,100,zstd,zipfian,mean,77.2063880443573,76.644,78.003,0.464,35202.97926251573,34868.83,35466.89,205.43,False,126.31,False
23,10,4.0,1,snappy,latest,mean,75.90306434631347,75.686,76.562,0.333,35834.19183394949,35517.08,35950.01,160.99,True,132.97,True
24,9,2.0,1,snappy,latest,mean,76.1699185848236,75.542,76.674,0.451,35709.26074760147,35468.85,36030.96,219.84,True,139.65,False
25,14,6.0,1,snappy,latest,mean,75.65210089683532,75.244,75.955,0.262,35968.795275646495,35822.73,36192.44,134.71,True,146.29,False
26,4,4.0,100,snappy,latest,mean,75.79475011825562,75.408,76.254,0.316,35898.19936837854,35659.07,36094.47,160.69,False,152.94,False
27,4,4.0,1,none,latest,mean,76.25051665306091,75.628,76.842,0.503,35699.8733640722,35395.78,36017.28,248.09,False,159.63,False
28,4,4.0,1,zstd,latest,mean,76.22183179855347,75.396,76.865,0.477,35682.499547136904,35381.6,36082.76,229.12,False,166.31,False
29,4,4.0,1,snappy,zipfian,mean,76.75826044082642,76.22,77.111,0.319,35421.41597660734,35254.42,35694.86,163.66,False,173.04,False
30,5,4.0,1,snappy,latest,mean,75.90306434631347,75.686,76.562,0.333,35834.19183394949,35517.08,35950.01,160.99,False,173.04,False
31,13,8.0,1,snappy,latest,mean,75.8711485862732,75.493,76.063,0.203,35864.362567193086,35761.68,36047.2,99.67,True,179.7,False
32,5,6.0,100,snappy,latest,mean,76.12511696815491,76.018,76.279,0.097,35738.29608012327,35662.54,35805.2,52.97,False,186.38,False
33,5,6.0,1,none,latest,mean,76.49296979904175,75.853,76.873,0.349,35578.66443517935,35403.13,35906.14,176.66,False,193.09,False
34,5,6.0,1,zstd,latest,mean,76.26911001205444,75.939,76.642,0.26,35658.96208114113,35498.86,35815.22,118.38,False,199.77,False
