evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_new_best,elapsed_minutes
1,8.0,100,snappy,zipfian,mean,76.32014484405518,75.918,76.569,0.245,35621.020724996975,35507.23,35737.22,96.13,True,6.69
2,4.0,500,snappy,latest,mean,75.79755845069886,75.285,76.481,0.445,35904.269261042486,35571.86,36163.81,220.15,True,13.34
3,2.0,1,zstd,uniform,mean,75.36528310775756,74.592,76.631,0.771,36128.88455023615,35739.71,36421.06,276.78,True,19.96
4,0.25,1,snappy,latest,mean,87.32396788597107,85.79,91.153,1.948,31243.51090383809,31068.34,31423.77,137.4,False,27.57
5,0.5,100,snappy,uniform,mean,75.1914213180542,74.863,75.633,0.312,36109.89113132958,35869.41,36275.52,154.31,False,34.17
6,0.25,1,snappy,zipfian,mean,89.5568555355072,89.408,89.755,0.143,30043.796262212116,29976.93,30105.6,52.6,False,41.96
7,2.0,1,none,zipfian,mean,76.91698169708252,76.285,77.401,0.395,35351.98709000045,35137.32,35672.98,203.73,False,48.71
8,1.0,500,none,latest,mean,76.60934867858887,76.207,76.986,0.249,35498.90037964114,35305.96,35698.35,124.74,False,55.42
9,8.0,1,zstd,latest,mean,76.26389784812928,75.708,77.226,0.535,35664.064934958486,35188.04,35930.33,260.75,False,62.11
10,2.0,500,zstd,latest,mean,76.3973846912384,75.736,77.171,0.529,35682.06672721836,35391.87,35924.78,182.36,False,68.81
11,0.5,500,none,uniform,mean,74.62442317008973,74.44,75.176,0.278,36406.51592631635,36107.7,36571.95,157.18,True,75.36
12,0.5,1,snappy,zipfian,mean,83.11945242881775,82.064,84.24,0.785,32531.90288766852,32063.33,32980.77,328.36,False,82.62
13,0.5,1,zstd,uniform,mean,74.62471776008606,74.254,74.925,0.226,36397.829067396335,36231.37,36588.15,117.7,False,89.18
14,4.0,100,snappy,latest,mean,75.81641535758972,75.179,76.153,0.39,35864.18235098237,35712.29,36216.51,189.95,False,95.83
15,6.0,100,none,uniform,mean,75.70995211601257,75.281,76.536,0.46,35975.76809329377,35782.68,36085.82,103.54,False,102.47
16,8.0,100,zstd,latest,mean,76.51576824188233,76.083,76.91,0.286,35522.73378792904,35366.44,35763.18,137.34,False,109.18
17,4.0,100,zstd,uniform,mean,75.1621298789978,74.648,75.6,0.371,36128.14810333044,35894.56,36371.39,167.52,False,115.78
18,8.0,500,snappy,uniform,mean,75.3040717124939,74.84,75.91,0.448,36037.79276951442,35742.71,36267.82,228.51,False,122.39
19,0.25,500,snappy,uniform,mean,74.67722496986389,74.158,75.129,0.31,36351.081068012296,36127.58,36614.84,155.37,False,128.94
20,8.0,500,none,uniform,mean,75.95406532287598,74.763,79.856,1.961,36247.11952890923,36079.71,36348.15,96.19,False,135.61
21,2.0,1,none,latest,mean,76.29262251853943,75.879,76.96,0.393,35650.38511708566,35343.98,35809.7,174.07,False,142.3
22,4.0,100,snappy,uniform,mean,75.44308853149414,74.763,76.201,0.631,35994.837300147534,35591.15,36302.79,285.75,False,148.92
23,0.25,100,snappy,latest,mean,85.65592365264892,84.344,86.616,0.911,31576.607389699464,31214.18,32017.21,316.43,False,156.39
24,0.25,1,none,latest,mean,79.8086546421051,78.936,80.903,0.682,33939.13768475944,33470.18,34330.62,298.77,False,163.37
25,0.5,500,snappy,latest,mean,80.12840838432312,79.402,80.555,0.455,33799.4107889366,33616.54,34117.41,199.69,False,170.38
26,1.0,100,none,latest,mean,76.80255651473999,76.525,76.97,0.157,35391.70110602438,35269.97,35538.77,89.15,False,177.12
27,8.0,100,snappy,latest,mean,76.30728421211242,75.913,76.618,0.306,35652.281238781405,35485.08,35879.97,165.16,False,183.81
28,1.0,500,none,zipfian,mean,77.64927892684936,77.193,78.092,0.289,34993.63623749999,34797.74,35207.88,132.08,False,190.61
29,1.0,500,zstd,latest,mean,78.02261605262757,77.561,78.651,0.409,34789.687931892404,34485.08,35039.21,205.66,False,197.45
30,8.0,1,none,latest,mean,76.24252977371216,75.958,76.416,0.161,35690.590592215405,35615.41,35785.68,61.29,False,204.14
31,0.25,1,snappy,uniform,mean,74.95722351074218,74.474,75.443,0.327,36238.40745540989,35954.55,36460.48,178.58,False,210.72
32,1.0,1,snappy,zipfian,mean,77.96013016700745,77.394,78.266,0.328,34801.843108196124,34682.24,35103.6,156.41,False,217.55
33,4.0,1,zstd,latest,mean,76.28073844909667,75.866,76.852,0.323,35650.99625576542,35350.33,35846.31,165.31,False,224.24
34,6.0,100,snappy,zipfian,mean,76.90832505226135,76.712,77.011,0.103,35344.16625379268,35280.17,35447.24,55.21,False,230.98
35,8.0,500,none,latest,mean,76.40837373733521,76.284,76.472,0.067,35616.85120600541,35584.72,35701.83,44.11,False,237.68
36,4.0,500,none,latest,mean,76.62752327919006,76.092,76.858,0.28,35514.042906153736,35394.31,35772.68,135.11,False,244.4
37,6.0,1,none,uniform,mean,75.24343795776367,74.673,76.307,0.635,36223.10470800922,35895.57,36413.29,205.19,False,251.0
38,6.0,100,snappy,latest,mean,76.07439370155335,75.082,76.794,0.604,35749.93834079939,35334.71,36262.16,318.93,False,257.67
39,0.5,500,zstd,latest,mean,83.12258133888244,82.477,83.646,0.439,32516.65732070725,32299.58,32769.26,168.83,False,264.93
40,6.0,1,snappy,uniform,mean,74.83889117240906,74.028,75.453,0.479,36279.21013911691,36001.07,36689.36,235.9,False,271.5
41,1.0,100,zstd,zipfian,mean,79.44262061119079,78.654,79.944,0.436,34106.8804292959,33896.06,34481.83,202.52,False,278.46
42,2.0,1,none,uniform,mean,75.19234075546265,75.025,75.463,0.174,36121.3381955788,35957.08,36230.86,101.83,False,285.06
43,0.5,1,none,zipfian,mean,78.8839750289917,78.463,79.325,0.311,34385.244254135,34148.81,34586.18,152.19,False,291.96
44,8.0,500,zstd,zipfian,mean,77.09020662307739,76.672,77.422,0.266,35247.62952771145,35085.8,35458.05,131.04,False,298.72
45,8.0,1,none,uniform,mean,75.14440021514892,74.096,75.586,0.58,36167.89301412794,35936.89,36749.93,317.01,False,305.32
46,0.25,500,zstd,zipfian,mean,97.02808194160461,96.331,97.948,0.542,27625.40321848915,27351.3,27841.82,163.85,False,313.74
47,1.0,1,snappy,uniform,mean,74.78540325164795,74.215,75.253,0.332,36313.246966582825,36053.8,36612.75,179.02,False,320.3
