evaluation_id,temperature,iteration,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,accepted,elapsed_minutes
1,1.0,0,6.0,1,snappy,uniform,mean,74.93181009292603,74.394,75.316,0.32,36238.77917423339,36029.95,36544.8,175.07,True,6.58
2,0.9253203955702536,1,6.0,500,snappy,uniform,mean,75.00473074913025,74.479,75.836,0.476,36195.6594392129,35776.18,36453.74,238.53,True,13.16
3,0.8562178344582906,1,6.0,500,zstd,uniform,mean,75.10211424827575,74.711,75.382,0.249,36139.98960327918,35982.85,36330.61,131.69,True,19.75
4,0.7922758252752513,1,6.0,500,zstd,zipfian,mean,77.07883839607238,76.452,77.426,0.332,35235.96482232863,35077.14,35459.03,128.16,True,26.51
5,0.7331089800444447,1,6.0,500,zstd,uniform,mean,75.10211424827575,74.711,75.382,0.249,36139.98960327918,35982.85,36330.61,131.69,True,26.51
6,0.6783606914108307,1,0.5,500,zstd,uniform,mean,74.88067064285278,74.727,75.116,0.169,36270.13951734246,36141.86,36396.21,98.75,True,33.08
7,0.6277009833155806,1,0.5,1,zstd,uniform,mean,74.91292028427124,74.462,75.27,0.312,36233.31464572517,36050.25,36466.2,160.71,True,39.66
8,0.5808245221814101,1,0.5,100,zstd,uniform,mean,74.90583891868592,74.652,75.332,0.246,36240.86918793118,36012.21,36380.17,130.44,True,46.24
9,0.5374487766218059,1,4.0,100,zstd,uniform,mean,75.16303067207336,74.809,75.594,0.342,36109.35167306736,35883.99,36289.92,173.42,True,52.83
10,0.4973123145824383,1,4.0,100,snappy,uniform,mean,74.69180502891541,74.247,75.628,0.496,36348.387968463,35867.4,36571.95,253.98,True,59.39
11,0.4601732276513802,1,4.0,100,none,uniform,mean,75.38097128868102,74.371,76.272,0.656,36023.38917367426,35578.78,36549.5,333.0,False,66.01
12,0.4258076730412155,1,8.0,100,snappy,uniform,mean,75.20643043518066,74.509,76.071,0.539,36096.63179051316,35651.12,36456.33,279.18,True,72.61
13,0.3940085244553467,1,8.0,100,snappy,latest,mean,76.16265559196472,75.621,76.575,0.421,35696.15331264706,35502.3,35962.13,188.19,True,79.29
14,0.3645841237070734,1,8.0,100,snappy,uniform,mean,75.20643043518066,74.509,76.071,0.539,36096.63179051316,35651.12,36456.33,279.18,True,79.29
15,0.3373571255672634,1,8.0,500,snappy,uniform,mean,74.98273086547852,74.575,75.493,0.385,36222.01054057481,35938.9,36525.51,225.51,True,85.87
16,0.3121634288783438,1,8.0,500,snappy,latest,mean,75.82803492546081,75.291,76.491,0.391,35863.58914364889,35544.2,36157.17,199.47,True,92.52
17,0.2888511874922758,1,8.0,500,snappy,zipfian,mean,76.90864353179931,76.4,77.621,0.407,35356.34389623474,35024.35,35599.56,191.15,True,99.26
18,0.2672798950712902,1,8.0,500,none,zipfian,mean,77.09786548614503,76.362,77.947,0.512,35279.81911642758,34871.21,35653.11,250.7,True,106.02
19,0.2473195382353421,1,8.0,500,none,uniform,mean,74.98556699752808,74.647,75.582,0.352,36252.44725378386,36021.84,36421.58,154.1,True,112.6
20,0.2288498129521792,1,8.0,1,none,uniform,mean,75.09742732048035,74.775,75.456,0.243,36171.81889878274,35986.39,36336.8,126.93,True,119.2
21,0.211759399447089,1,8.0,1,zstd,uniform,mean,74.51068444252014,74.37,74.686,0.113,36445.013804244096,36340.92,36515.61,60.68,True,125.74
22,0.1959452912620997,1,0.5,1,zstd,uniform,mean,74.91292028427124,74.462,75.27,0.312,36233.31464572517,36050.25,36466.2,160.71,True,125.74
23,0.1813121744207746,1,0.5,500,zstd,uniform,mean,74.88067064285278,74.727,75.116,0.169,36270.13951734246,36141.86,36396.21,98.75,True,125.74
24,0.167771852956734,1,0.5,100,zstd,uniform,mean,74.90583891868592,74.652,75.332,0.246,36240.86918793118,36012.21,36380.17,130.44,True,125.74
25,0.1552427173434795,1,0.5,100,none,uniform,mean,75.02252879142762,74.426,75.518,0.433,36186.67701195778,35933.35,36485.43,216.53,True,132.32
26,0.1436492526216695,1,1.0,100,none,uniform,mean,75.2088517665863,75.059,75.487,0.156,36093.36307996929,35940.42,36201.14,89.08,True,138.93
27,0.1329215832592545,1,1.0,1,none,uniform,mean,75.275670337677,74.731,75.844,0.49,36057.24546107036,35763.68,36356.92,256.26,True,145.53
28,0.1229950520012778,1,1.0,100,none,uniform,mean,75.2088517665863,75.059,75.487,0.156,36093.36307996929,35940.42,36201.14,89.08,True,145.53
29,0.1138098301710063,1,2.0,100,none,uniform,mean,74.92825179100036,74.706,75.132,0.148,36242.22521166226,36141.35,36358.99,81.91,True,152.11
